Gene,Drug,Pearson_Correlation,id
ABCB1,PF-05212384 (BRD:BRD-K07955840-001-02-3),0.5829598564597004,BRD-K07955840
ABCB1,THZ531 (BRD:BRD-K00104123-001-01-9),0.5728190773277883,BRD-K00104123
ABCB1,KW-2478 (BRD:BRD-K41213548-001-02-0),0.5556621697309766,BRD-K41213548
ABCB1,10-DEACETYLBACCATIN (BRD:BRD-K96631475-001-02-4),0.5399827817067014,BRD-K96631475
ABCB1,POLYDATIN (BRD:BRD-K43236057-001-07-1),0.5164910722930242,BRD-K43236057
ABCB1,THONZONIUM (BRD:BRD-K13387373-004-14-5),0.44710403354363676,BRD-K13387373
ABCB1,PARDOPRUNOX (BRD:BRD-K11851476-003-01-7),0.43136150753995256,BRD-K11851476
ABCB1,BRIVARACETAM (BRD:BRD-K00634421-001-01-0),0.4193510948302718,BRD-K00634421
ABCB1,OXYPHENCYCLIMINE (BRD:BRD-A58193911-003-18-7),0.40979865758022194,BRD-A58193911
ABCB1,TAK-901 (BRD:BRD-K01683783-001-02-6),0.39190527623618776,BRD-K01683783
ABCB1,BENZETHONIUM (BRD:BRD-K72723676-003-17-8),0.38506120471734945,BRD-K72723676
ABCB1,EPZ011989 (BRD:BRD-K87468701-001-01-0),0.384103861111066,BRD-K87468701
ABCB1,TEFINOSTAT (BRD:BRD-K00091118-001-01-9),0.3804379590687778,BRD-K00091118
ABCB1,PUROMYCIN (BRD:BRD-A28970875-300-04-9),0.37928658633834544,BRD-A28970875
ABCB1,TEDIZOLID-PHOSPHATE (BRD:BRD-K89121095-001-01-7),0.37318266317291765,BRD-K89121095
ABCB1,CT7001 (BRD:BRD-K00003453-003-01-9),0.3658021325440501,BRD-K00003453
ABCB1,PHA-680632 (BRD:BRD-K09443272-001-03-3),0.35220791718890126,BRD-K09443272
ABCB1,GSK923295 (BRD:BRD-K89015388-001-01-7),0.34004337341757357,BRD-K89015388
ABCB1,BITOPERTIN (BRD:BRD-K13756951-001-01-4),0.3338986553716606,BRD-K13756951
ABCB1,ELDECALCITOL (BRD:BRD-K00003316-001-01-9),0.3293613293386229,BRD-K00003316
