Gene,Drug,Pearson_Correlation,id
ABCC1,SU3327 (BRD:BRD-K32730239-001-01-0),0.32598946862618067,BRD-K32730239
ABCC1,BISINDOLYLMALEIMIDE-IX (BRD:BRD-K06543683-066-02-1),0.28315766034560835,BRD-K06543683
ABCC1,AURANOFIN (BRD:BRD-K45995181-001-04-6),0.2379227743792985,BRD-K45995181
ABCC1,MENADIONE (BRD:BRD-K78126613-001-28-5),0.22880495749656693,BRD-K78126613
ABCC1,NSC-663284 (BRD:BRD-K03109492-001-02-2),0.2175190058730146,BRD-K03109492
ABCC1,TOLONIUM (BRD:BRD-K94882685-003-10-0),0.2167015867823712,BRD-K94882685
ABCC1,BENZETHONIUM (BRD:BRD-K72723676-003-17-8),0.2163515682726959,BRD-K72723676
ABCC1,LY3009120 (BRD:BRD-K38385169-001-04-5),0.21127459228987064,BRD-K38385169
ABCC1,BI-78D3 (BRD:BRD-K73982490-001-02-9),0.2083561271921065,BRD-K73982490
ABCC1,ATORVASTATIN (BRD:BRD-K69726342-238-02-4),0.20711134972356698,BRD-K69726342
ABCC1,RIFAPENTINE (BRD:BRD-K28346421-001-06-8),0.2051984567487808,BRD-K28346421
ABCC1,THIOMERSAL (BRD:BRD-K61443650-236-13-1),0.20299537090948583,BRD-K61443650
ABCC1,BW-348U87 (BRD:BRD-K00004593-001-01-9),0.1985030508067979,BRD-K00004593
ABCC1,DPC (BRD:BRD-K00004636-001-01-9),0.19361277838297677,BRD-K00004636
ABCC1,AZ-628 (BRD:BRD-K05804044-001-06-0),0.19176500292971238,BRD-K05804044
ABCC1,GAMBOGIC-ACID (BRD:BRD-K08542803-001-03-1),0.19068921757159285,BRD-K08542803
ABCC1,DABRAFENIB (BRD:BRD-K09951645-001-06-8),0.18900982994845456,BRD-K09951645
ABCC1,PFK-158 (BRD:BRD-K28010364-001-01-0),0.18766647650675622,BRD-K28010364
ABCC1,GDC-0879 (BRD:BRD-K67578145-001-09-7),0.18757247953525252,BRD-K67578145
ABCC1,SB-590885 (BRD:BRD-K78809024-001-05-7),0.18756928402919407,BRD-K78809024
ABCC1,LOVASTATIN (BRD:BRD-K09416995-001-39-9),0.18540838398472548,BRD-K09416995
ABCC1,PITAVASTATIN (BRD:BRD-K75958547-238-04-9),0.18527814111702937,BRD-K75958547
ABCC1,PITAVASTATIN (BRD:BRD-K75958547-238-01-0),0.18398496348676172,BRD-K75958547
ABCC1,ATIPRIMOD (BRD:BRD-K38527262-300-01-0),0.1823987361263149,BRD-K38527262
ABCC1,ARRY-886 (BRD:BRD-K57080016-001-15-9),0.18167671924682047,BRD-K57080016
ABCC1,DIM-C-PPHCO2ME (BRD:BRD-K00005337-001-01-9),0.1764467132455733,BRD-K00005337
ABCC1,ORIDONIN (BRD:BRD-K23925186-001-02-8),0.1750151801468093,BRD-K23925186
ABCC1,PLIXORAFENIB (BRD:BRD-K53723268-001-01-3),0.1750059026380829,BRD-K53723268
ABCC1,VEMURAFENIB (BRD:BRD-K56343971-001-10-6),0.1720928863264104,BRD-K56343971
ABCC1,U-0126 (BRD:BRD-K91701654-001-03-1),0.16994231766605897,BRD-K91701654
ABCC1,BIX-01294 (BRD:BRD-K26818574-305-04-3),0.16985131179846263,BRD-K26818574
ABCC1,RYUVIDINE (BRD:BRD-K06426971-001-02-7),0.16876515602632405,BRD-K06426971
ABCC1,BETA-LAPACHONE (BRD:BRD-K28061410-001-06-6),0.16569749766868175,BRD-K28061410
ABCC1,SIMVASTATIN (BRD:BRD-K22134346-001-22-3),0.16319036316230803,BRD-K22134346
ABCC1,GDC-0994 (BRD:BRD-A20830788-001-01-9),0.16238923840593084,BRD-A20830788
ABCC1,GGTI-298 (BRD:BRD-K19669037-001-01-1),0.15997578323778702,BRD-K19669037
ABCC1,CID-5458317 (BRD:BRD-A08840375-001-01-3),0.15824816627021415,BRD-A08840375
ABCC1,PD-198306 (BRD:BRD-K88677950-001-03-9),0.15785049942186746,BRD-K88677950
ABCC1,REMDESIVIR (BRD:BRD-K00071599-001-02-9),0.15686666731144458,BRD-K00071599
ABCC1,ENCORAFENIB (BRD:BRD-A56085258-001-01-8),0.15675260067216099,BRD-A56085258
ABCC1,SPAGLUMIC-ACID (BRD:BRD-K68405354-001-06-4),0.15671210790432075,BRD-K68405354
ABCC1,SANGUINARIUM-CHLORIDE (BRD:BRD-K66898851-003-03-3),0.1561398749633676,BRD-K66898851
ABCC1,CEP-40783 (BRD:BRD-K00003396-001-01-9),0.1550653469152177,BRD-K00003396
ABCC1,ONC201 (BRD:BRD-K58529924-001-01-5),0.15352647459951918,BRD-K58529924
ABCC1,PLX 4720 (BRD:BRD-K16478699-001-09-2),0.15308385805785713,BRD-K16478699
ABCC1,GDC-0879 (BRD:BRD-K67578145-001-12-1),0.1525038697173259,BRD-K67578145
ABCC1,WALRYCIN-B (BRD:BRD-K01129913-001-01-5),0.14846693443942124,BRD-K01129913
ABCC1,INX-08189 (BRD:BRD-K00004752-001-01-9),0.14788149642200557,BRD-K00004752
ABCC1,AZD-0364 (BRD:BRD-K00091078-001-01-9),0.14754048055615446,BRD-K00091078
ABCC1,PD-318088 (BRD:BRD-A57798112-001-03-7),0.144989417458019,BRD-A57798112
ABCC1,MEVASTATIN (BRD:BRD-K94441233-001-17-1),0.14417879906214812,BRD-K94441233
ABCC1,NAMPT-IN-1 (BRD:BRD-K18280217-001-01-0),0.14339691374622432,BRD-K18280217
ABCC1,VALRUBICIN (BRD:BRD-K72951360-001-01-4),0.14165917541401352,BRD-K72951360
ABCC1,INARIGIVIR (BRD:BRD-K00003532-001-01-9),0.14090565434276903,BRD-K00003532
ABCC1,ICG-001 (BRD:BRD-K94455792-001-01-8),0.14087229606924553,BRD-K94455792
ABCC1,JTC-801 (BRD:BRD-K17705806-003-04-4),0.13998424868855247,BRD-K17705806
ABCC1,MEVASTATIN (BRD:BRD-K94441233-001-13-0),0.13966571929239444,BRD-K94441233
ABCC1,TAK-632 (BRD:BRD-K31866293-001-01-6),0.13966520774788835,BRD-K31866293
ABCC1,PIBENZIMOL (BRD:BRD-K17026858-001-01-2),0.13939420826245022,BRD-K17026858
ABCC1,TOSEDOSTAT (BRD:BRD-K92241597-001-06-0),0.13746009800464437,BRD-K92241597
ABCC1,SALINOMYCIN (BRD:BRD-A28301258-001-04-8),0.1357636465746477,BRD-A28301258
