Gene,Drug,Pearson_Correlation,id
ABCG2,APY-29 (BRD:BRD-K17511755-001-02-9),0.4785814234282772,BRD-K17511755
ABCG2,ADAVIVINT (BRD:BRD-K00003499-001-01-9),0.46995313986913007,BRD-K00003499
ABCG2,UNBS-5162 (BRD:BRD-K30933884-001-01-0),0.4202261108386101,BRD-K30933884
ABCG2,APTO-253 (BRD:BRD-K68003372-001-01-6),0.3115763122899356,BRD-K68003372
ABCG2,TASISULAM (BRD:BRD-K42495768-001-01-7),0.2668850715438393,BRD-K42495768
ABCG2,PF-477736 (BRD:BRD-K03063480-001-05-8),0.26321916975170984,BRD-K03063480
ABCG2,CUDC 101 (BRD:BRD-K41278234-001-03-0),0.21434089686737803,BRD-K41278234
ABCG2,STF-31 (BRD:BRD-K22477529-001-02-7),0.21313284223631437,BRD-K22477529
ABCG2,BX-912 (BRD:BRD-K49669041-001-08-4),0.21019113582044457,BRD-K49669041
ABCG2,PHA-767491 (BRD:BRD-K50000283-001-04-4),0.20644714311461695,BRD-K50000283
ABCG2,TAS4464 (BRD:BRD-K00091290-001-01-9),0.2020780024252022,BRD-K00091290
ABCG2,INOSINE (BRD:BRD-K79612754-001-19-1),0.1986578268212838,BRD-K79612754
ABCG2,ELTROMBOPAG (BRD:BRD-K40496271-396-01-1),0.19599247298006273,BRD-K40496271
ABCG2,NAMPT-IN-1 (BRD:BRD-K18280217-001-01-0),0.19515927963192345,BRD-K18280217
ABCG2,PIBENZIMOL (BRD:BRD-K17026858-001-01-2),0.1946435040383442,BRD-K17026858
ABCG2,SGI-1027 (BRD:BRD-K61228301-001-01-2),0.1792455008978885,BRD-K61228301
ABCG2,COH29 (BRD:BRD-K00003307-001-01-9),0.17632635873783645,BRD-K00003307
ABCG2,BAICALEIN (BRD:BRD-K72327355-001-14-7),0.17430537309977026,BRD-K72327355
ABCG2,GENIPIN (BRD:BRD-K28824103-001-02-8),0.16955056680499303,BRD-K28824103
ABCG2,NIRAPARIB (BRD:BRD-K54955827-001-02-2),0.16916438067049744,BRD-K54955827
ABCG2,INDISULAM (BRD:BRD-K17610631-001-03-3),0.16858065066768613,BRD-K17610631
ABCG2,SB-747651A (BRD:BRD-K49597925-300-01-9),0.16839594137828343,BRD-K49597925
ABCG2,RAF265 (BRD:BRD-K93123848-001-04-1),0.15992522056676417,BRD-K93123848
ABCG2,MDL-29951 (BRD:BRD-K59753853-001-02-3),0.1543905920883428,BRD-K59753853
ABCG2,KPT-9274 (BRD:BRD-K00004701-001-01-9),0.15325550746615485,BRD-K00004701
ABCG2,ZOLANTIDINE (BRD:BRD-K08996725-332-01-7),0.15232269757683484,BRD-K08996725
ABCG2,MAFENIDE (BRD:BRD-K30649484-003-13-7),0.15231625580501648,BRD-K30649484
ABCG2,AZD3965 (BRD:BRD-K25210703-001-01-9),0.1521511045852529,BRD-K25210703
ABCG2,DEFERASIROX (BRD:BRD-K97010173-001-04-1),0.15157957135186356,BRD-K97010173
ABCG2,BISINDOLYLMALEIMIDE-IX (BRD:BRD-K06543683-066-02-1),0.15058654001003186,BRD-K06543683
ABCG2,METHSCOPOLAMINE (BRD:BRD-A03932035-004-04-3),0.14893380292981398,BRD-A03932035
ABCG2,AT13148 (BRD:BRD-K32127727-001-04-2),0.14269241875099592,BRD-K32127727
ABCG2,AURANOFIN (BRD:BRD-K45995181-001-04-6),0.1424834013757732,BRD-K45995181
ABCG2,PITAVASTATIN (BRD:BRD-K75958547-238-01-0),0.1416515641246947,BRD-K75958547
ABCG2,GSK269962 (BRD:BRD-K89464729-001-03-1),0.14063117181643736,BRD-K89464729
ABCG2,ERASTIN (BRD:BRD-A25004090-001-08-4),0.14043560528855684,BRD-A25004090
ABCG2,ANDROGRAPHOLIDE (BRD:BRD-A86619021-001-04-8),0.13993337987189752,BRD-A86619021
ABCG2,FPL-12495 (BRD:BRD-A09368919-001-01-7),0.13874206200903855,BRD-A09368919
ABCG2,CYCLOVIROBUXIN-D (BRD:BRD-K27799744-001-02-8),0.13779380124723611,BRD-K27799744
ABCG2,API-1 (BRD:BRD-K97840621-001-02-9),0.13749172196511616,BRD-K97840621
ABCG2,PEXMETINIB (BRD:BRD-K53405000-001-02-8),0.13602905845761834,BRD-K53405000
ABCG2,GR-113808 (BRD:BRD-K49945136-001-10-0),0.13419767928689175,BRD-K49945136
ABCG2,CLOFIBRATE (BRD:BRD-K45252063-001-13-6),0.13260603749495684,BRD-K45252063
ABCG2,JNJ-7706621 (BRD:BRD-K11636097-001-03-1),0.1320476383428715,BRD-K11636097
ABCG2,SB-268262 (BRD:BRD-A91031770-001-01-8),0.13109498336555184,BRD-A91031770
ABCG2,ATORVASTATIN (BRD:BRD-K69726342-238-02-4),0.13096947061036646,BRD-K69726342
ABCG2,NIFUROXAZIDE (BRD:BRD-K68188368-001-09-4),0.13093656788432412,BRD-K68188368
ABCG2,BROXURIDINE (BRD:BRD-K79095980-001-09-6),0.13078237375198223,BRD-K79095980
ABCG2,BISMUTH-SUBCITRATE-POTASSIUM (BRD:BRD-A03880619-001-01-0),0.13043175072020585,BRD-A03880619
ABCG2,ARTESUNATE (BRD:BRD-K54634444-001-05-9),0.12973413891820745,BRD-K54634444
ABCG2,NINTEDANIB (BRD:BRD-K49075727-001-08-5),0.1284188574807231,BRD-K49075727
ABCG2,LB-100 (BRD:BRD-A73709786-001-01-3),0.12739819981270878,BRD-A73709786
ABCG2,TRIGONELLINE (BRD:BRD-K69231085-003-05-7),0.12693539474137264,BRD-K69231085
ABCG2,HOMATROPINE (BRD:BRD-A74975734-004-10-7),0.12680293813868962,BRD-A74975734
ABCG2,OLDA (BRD:BRD-K95523387-001-09-6),0.12629708351640484,BRD-K95523387
ABCG2,DIPEPTAMIN (BRD:BRD-K11595419-001-01-4),0.12595404293569087,BRD-K11595419
ABCG2,VINFLUNINE (BRD:BRD-K64120610-046-01-9),0.125912790722424,BRD-K64120610
ABCG2,BARASERTIB (BRD:BRD-K31928526-001-02-1),0.1257685830698553,BRD-K31928526
ABCG2,FLUMATINIB (BRD:BRD-K68870568-066-01-5),0.12524230894729846,BRD-K68870568
ABCG2,ANLOTINIB (BRD:BRD-K36949735-001-01-1),0.12510368733837768,BRD-K36949735
ABCG2,FENRETINIDE (BRD:BRD-K89085489-001-23-2),0.12474694375785057,BRD-K89085489
ABCG2,INARIGIVIR (BRD:BRD-K00003532-001-01-9),0.12463157565992443,BRD-K00003532
ABCG2,BAY-8002 (BRD:BRD-K00005331-001-01-9),0.12425401197817498,BRD-K00005331
ABCG2,TREMORINE (BRD:BRD-K08619838-300-05-7),0.12318184365096388,BRD-K08619838
ABCG2,ANAGRELIDE (BRD:BRD-K62200014-003-10-5),0.12309460203929178,BRD-K62200014
ABCG2,DIPHENHYDRAMINE (BRD:BRD-K47278471-003-26-3),0.1226292763756598,BRD-K47278471
ABCG2,ETILEVODOPA (BRD:BRD-K90982969-001-01-2),0.12253542948414371,BRD-K90982969
ABCG2,BRICICLIB (BRD:BRD-K05531427-001-01-7),0.12230372378433904,BRD-K05531427
ABCG2,BUTENAFINE (BRD:BRD-K90630139-003-05-9),0.12060407100041355,BRD-K90630139
ABCG2,L-161982 (BRD:BRD-K39733634-001-02-6),0.11929650177812157,BRD-K39733634
ABCG2,BEVIRIMAT-DIMEGLUMINE (BRD:BRD-K16898998-001-01-6),0.11832725854595919,BRD-K16898998
ABCG2,PITAVASTATIN (BRD:BRD-K75958547-238-04-9),0.11824714603483287,BRD-K75958547
ABCG2,SELAMECTIN (BRD:BRD-A58564983-001-04-6),0.11810156788748351,BRD-A58564983
ABCG2,CID-5458317 (BRD:BRD-A08840375-001-01-3),0.11796705984126793,BRD-A08840375
ABCG2,VU0238429 (BRD:BRD-K24187789-001-01-7),0.11792263324306124,BRD-K24187789
ABCG2,RO-61-8048 (BRD:BRD-K12639498-001-01-3),0.11757194935555784,BRD-K12639498
ABCG2,ORIDONIN (BRD:BRD-K23925186-001-01-0),0.11740842066526976,BRD-K23925186
ABCG2,PFK-158 (BRD:BRD-K28010364-001-01-0),0.1172155592189938,BRD-K28010364
ABCG2,THZ1-R (BRD:BRD-K02135007-001-01-8),0.1170654793993077,BRD-K02135007
ABCG2,ELAFIBRANOR (BRD:BRD-K03165895-001-01-9),0.11685574993997352,BRD-K03165895
ABCG2,MONOSODIUM-ALPHA-LUMINOL (BRD:BRD-K52559566-001-02-9),0.1162232744300835,BRD-K52559566
ABCG2,LX7101 (BRD:BRD-K21038058-001-01-9),0.11578735828974729,BRD-K21038058
ABCG2,"4-ACETYL-1,1-DIMETHYLPIPERAZINIUM (BRD:BRD-K97019106-005-02-9)",0.11542898914942494,BRD-K97019106
ABCG2,TGR-1202 (BRD:BRD-K52579889-001-01-9),0.11500379054948316,BRD-K52579889
ABCG2,ANAMORELIN (BRD:BRD-K01174345-001-01-9),0.11491531263419061,BRD-K01174345
ABCG2,ALLOPURINOL (BRD:BRD-K86307448-001-19-1),0.11488807041768567,BRD-K86307448
ABCG2,FLUVASTATIN (BRD:BRD-K66296774-236-11-3),0.11445169392002354,BRD-K66296774
ABCG2,BUPIVACAINE (BRD:BRD-A01636364-003-15-1),0.11392979358284529,BRD-A01636364
ABCG2,BENZTROPINE-MESYLATE (BRD:BRD-K48061146-066-01-7),0.11380890579154801,BRD-K48061146
ABCG2,BENAXIBINE (BRD:BRD-A90642009-001-03-2),0.11369314773246193,BRD-A90642009
ABCG2,ELEXACAFTOR (BRD:BRD-K00093437-001-01-9),0.11285360578033983,BRD-K00093437
ABCG2,APOPTOSIS-ACTIVATOR-II (BRD:BRD-K15164005-001-05-6),0.11259224967502207,BRD-K15164005
ABCG2,CLONAZEPAM (BRD:BRD-K38183498-001-02-0),0.11238415759426842,BRD-K38183498
ABCG2,MERTANSINE (BRD:BRD-K00003293-001-01-9),0.11225196253912477,BRD-K00003293
ABCG2,PINITOL (BRD:BRD-A69275535-001-01-5),0.1117293313305584,BRD-A69275535
ABCG2,L-701324 (BRD:BRD-K08109516-001-07-8),0.1111561310656101,BRD-K08109516
ABCG2,AT7867 (BRD:BRD-K12040459-001-06-0),0.11113150851929078,BRD-K12040459
ABCG2,SOBLIDOTIN (BRD:BRD-K00003174-001-01-9),0.10990300456673131,BRD-K00003174
ABCG2,SC-10 (BRD:BRD-K05361803-001-03-9),0.10987412519368069,BRD-K05361803
ABCG2,IDRONOXIL (BRD:BRD-K74671368-001-01-8),0.10967813986293838,BRD-K74671368
ABCG2,ADEFOVIR (BRD:BRD-K77484724-001-02-0),0.10933267174345981,BRD-K77484724
ABCG2,ISRADIPINE (BRD:BRD-A90799790-001-19-9),0.10925691011998478,BRD-A90799790
ABCG2,RG7112 (BRD:BRD-A78210457-001-01-5),0.10863250511584746,BRD-A78210457
