Drug,Pearson_Correlation,Label,AvgIpc,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BCUT2D_MWHI,BCUT2D_MWLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,Phi,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SPS,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_halogen,fr_imide,fr_methoxy,fr_morpholine,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_thiazole,fr_unbrch_alkane,qed
UC-112 (BRD:BRD-K73610817-001-10-9),-0.3700402990075391,0,3.191609733,2.172530865,-2.178870258,2.317982926,-2.182875222,5.880522187,0.107647384,16.47343205,10.02700885,1.580973524,873.9495725,17.76937395,14.89578897,14.89578897,12.80966309,9.235481897,9.235481897,6.904643005,6.904643005,4.992346423,4.992346423,3.636293972,3.636293972,0.0,5.106527395,0.0,0.0,24.47997648,41.71084791,12.84164325,6.196843572,30.33183534,28.08298946,4.736862954,0.961538462,1.769230769,2.576923077,0.318181818,-2.43,26,324.254,1858474.348,17.00746523,7.852029609,3.714333461,153.6061861,10.70772187,0.505320999,10.70772187,0.145812074,0.304916087,0.145812074,0.304916087,-0.505320999,4.253,102.8538,348.446,1,4,0,1,1,0,2,1,3,0,0,4,1,4,2,6,0,1,1,134,9.843390349,11.26621255,0.0,0.0,0.0,0.0,9.883888252,0.0,0.0,0.0,36.39820241,49.19079318,23.69127568,13.21376393,5.136273869,4,9.843390349,10.90292493,0.0,9.883888252,0.0,32.60016358,13.08951281,71.41813459,5.749511833,14.92307692,0.0,0.0,5.749511833,0.0,28.07992846,24.49538329,0.0,29.53199772,54.72778012,0.0,10.90292493,45.59,5.955697909,0.0,6.806131185,11.6690493,3.848098448,0.304916087,16.17208874,4.203936438,4.040081894,0.0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0.723147536
TEPOXALIN (BRD:BRD-K89714990-001-01-5),-0.3677342581666865,0,3.10547665,2.13966728,-2.08553782,2.265658224,-2.221589121,6.301678632,-0.158722704,35.49569172,10.10995062,1.975303099,918.6499243,19.38854058,15.09368142,15.84961037,12.97356555,8.424311064,8.802275537,6.054982512,6.491418292,4.172885725,4.42486204,2.695626365,2.821614523,0.0,10.00179021,0.0,12.32800135,16.50667266,28.38820559,7.047671983,7.109797541,59.27910655,5.098681808,16.33780284,1.185185185,1.851851852,2.444444444,0.2,-2.83,27,365.691,1546974.56,18.94616315,8.242753223,4.475220693,162.063975,11.66865529,0.496765866,11.66865529,0.245537572,0.173297327,0.245537572,-0.359221848,-0.496765866,3.9815,103.4395,385.851,1,6,0,0,0,1,2,1,3,0,0,5,1,7,1,6,0,0,0,140,4.736862954,5.749511833,0.0,5.907179729,0.0,0.0,10.00179021,9.74502066,5.098681808,0.0,23.73367403,42.46456948,30.47540003,24.18503981,5.784020271,3,14.73865316,17.50811962,0.0,14.84370247,0.0,12.84164325,14.15746952,65.31386492,22.69427759,10.66666667,4.736862954,0.0,5.749511833,11.60093989,40.11560475,11.21535881,0.0,12.11474962,54.59730362,5.022633314,16.94476576,67.59,7.04004764,6.006592539,11.66865529,15.136625,3.472015936,0.400733893,17.01844429,0.597382406,0.0,2.937280782,0,0,0,2,0,0,0,0,1,1,0,0,3,0,0,2,0,0,0,0,0,1,0,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.514441709
GTPL5238 (BRD:BRD-K92991072-001-04-9),-0.2599626670234293,0,2.729928814,2.18374901,-2.336633393,2.210566134,-2.482015263,5.856225197,-0.122192242,16.2561487,10.0709977,1.418159054,843.2112687,20.47648073,16.62745961,16.62745961,14.15219834,9.877435652,9.877435652,7.178842637,7.178842637,4.989059935,4.989059935,3.394990366,3.394990366,0.0,9.901064579,0.0,11.65669156,18.52902952,38.28723352,11.77805207,12.14238718,18.19910121,51.17142234,0.0,1.068965517,1.793103448,2.517241379,0.304347826,-2.96,29,364.279,4021949.523,20.76603637,10.54778564,6.270882223,171.6981703,12.1724921,0.506970277,12.1724921,0.253730533,0.153245105,0.253730533,-0.153245105,-0.506970277,2.3886,115.9035,392.503,2,6,0,1,1,1,2,0,2,0,0,5,2,6,1,8,0,1,1,152,5.106527395,5.749511833,0.0,0.0,5.907179729,0.0,14.59435665,5.425791397,5.101407526,6.578935684,48.54058959,23.61409167,38.28723352,12.75935699,7.552955182,3,9.901064579,12.12178031,0.0,15.22561086,5.101407526,12.96557803,32.72378203,77.87624681,5.749511833,15.44827586,5.425791397,0.0,5.749511833,0.0,59.75190919,17.76011521,0.0,16.69035448,66.28729986,0.0,0.0,68.17,0.0,0.0,16.70962547,14.20458305,5.215354894,0.013363198,15.87067935,3.782832186,8.536895183,0.0,0,0,0,0,0,1,0,0,1,1,0,0,3,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0.411240593
DAPRODUSTAT (BRD:BRD-K06455935-001-01-3),-0.1951431606647535,0,2.67759036,2.310447654,-2.288832068,2.314411008,-2.474181456,5.968980185,-0.135335617,16.36694648,9.939764188,2.138503216,859.6455434,20.25878407,15.85472268,15.85472268,13.41359136,10.01463509,10.01463509,7.686422099,7.686422099,5.803545678,5.803545678,4.402629374,4.402629374,41.11369154,24.28467613,0.0,12.08368166,25.68328649,43.09202939,4.567099648,0.0,0.0,5.316788604,5.106527395,0.892857143,1.392857143,1.892857143,0.684210526,-2.58,28,366.224,1883567.004,20.16192359,8.619581913,3.97503569,161.5375296,13.19014469,0.493625083,13.19014469,0.333840988,0.275264524,0.333840988,-1.262918627,-0.493625083,1.5404,100.8398,393.44,3,9,2,0,2,1,0,1,1,0,0,7,3,9,1,5,2,0,2,154,15.52984339,6.544756406,5.563451492,5.879988336,11.46644662,11.65904869,23.51781085,4.794537184,0.0,0.0,38.52492974,25.68328649,12.08368166,0.0,6.20669114,3,19.80212916,11.87648502,0.0,14.4509879,0.0,76.29189789,6.544756406,26.40153615,5.879988336,18.71428571,16.5657989,0.0,5.879988336,0.0,37.76849551,4.794537184,0.0,86.64988656,9.589074368,0.0,0.0,130.63,2.299615457,0.0,49.48327927,21.62832062,-1.96071321,-2.891745394,-0.58525127,8.370049183,-0.676887991,0.0,0,0,0,2,0,1,1,1,2,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695475582
ONCRASIN-1 (BRD:BRD-K43449605-001-01-0),-0.1949583842532111,0,2.798040979,2.068468161,-2.051481586,2.210885922,-1.969047122,6.300882199,0.11194709,35.49569128,10.1688772,2.051305614,728.0936772,13.24227621,10.21403583,10.96996478,9.275188245,6.052339084,6.430303557,4.473809012,4.910244793,3.212548497,3.464524813,2.286418131,2.412406288,0.0,4.794537184,0.0,0.0,0.0,39.88337816,0.0,0.0,54.72778012,4.567099648,11.60093989,1.052631579,1.789473684,2.526315789,0.0625,-2.06,19,257.635,38859.19312,11.99858661,4.90223729,2.269969816,115.7839663,11.10011441,0.342310257,11.10011441,0.151705405,0.726447713,0.151705405,0.726447713,-0.342310257,4.1555,77.8795,269.731,0,2,0,0,0,0,2,1,3,0,0,2,0,3,1,3,0,0,0,94,4.567099648,0.0,6.286160523,0.0,0.0,0.0,4.794537184,0.0,0.0,0.0,41.93277523,23.7625527,34.23060972,0.0,3.095785196,3,4.794537184,28.79002535,0.0,4.567099648,0.0,6.544756406,0.0,70.87731642,0.0,10.78947368,0.0,0.0,0.0,11.60093989,10.85326017,6.544756406,0.0,15.92144017,54.72778012,5.022633314,10.90292493,22.0,2.085619803,5.883145182,11.10011441,1.723294683,2.950662565,0.0,15.6753272,2.798579984,0.727700617,0.0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6546986
DEFEROXAMINE-MESYLATE (BRD:BRD-K09821361-066-25-8),-0.1844259077158597,0,2.909088697,2.139752461,-2.150447096,2.029860378,-2.31287799,5.833612671,-0.165954472,16.51643632,10.1796221,3.750611399,739.3513783,29.46804456,23.23690214,23.23690214,18.57749382,13.76969305,13.76969305,9.346482944,9.346482944,5.882887728,5.882887728,3.447662216,3.447662216,17.72153919,39.59444499,0.0,57.13191517,73.34885213,19.26246487,6.9237372,0.0,0.0,10.63357721,5.733667477,0.564102564,0.948717949,1.333333333,0.8,-2.81,39,512.309,131941435.7,36.19,23.1099187,20.78104408,230.2694051,11.9822609,0.356094186,11.9822609,0.24592863,0.019079622,0.24592863,-0.548428475,-0.356094186,0.9221,141.2673,560.693,7,14,0,0,0,5,0,0,0,0,0,9,6,14,0,23,0,0,0,226,16.36724469,0.0,0.0,29.53589865,0.0,0.0,39.59444499,15.18965317,0.0,0.0,6.420821623,57.91132939,65.33080572,0.0,21.44481943,0,39.59444499,29.53589865,0.0,25.82323038,5.733667477,90.3944183,39.26853844,0.0,0.0,10.58974359,16.36724469,0.0,0.0,0.0,99.61584933,23.97268592,0.0,90.3944183,0.0,0.0,0.0,205.84,0.0,0.0,58.38062419,36.05658572,5.393131454,-2.051920811,0.0,5.835989972,3.218922811,0.0,0,0,0,0,0,0,0,0,5,5,0,0,3,2,1,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.05957997
GSK-J4 (BRD:BRD-K98203492-003-04-1),-0.1827456589475763,0,3.024940487,2.174638046,-2.223209094,2.241231243,-2.271205491,5.697701637,-0.142268436,16.5318966,10.03782842,1.565536506,998.4880588,21.46804456,17.75125085,17.75125085,15.22467799,10.74391465,10.74391465,7.387524717,7.387524717,5.291682254,5.291682254,3.719355218,3.719355218,0.0,4.794537184,0.0,12.39012691,24.79390565,37.44294683,11.12690298,13.12058077,24.26546827,44.45012365,9.720841475,1.064516129,1.806451613,2.483870968,0.333333333,-3.48,31,390.297,16477080.73,20.77908456,10.01890296,5.364172769,182.0679465,11.66881837,0.465920456,11.66881837,0.307059838,0.222674388,0.307059838,-0.222674388,-0.465920456,3.5089,121.0657,417.513,1,7,0,1,1,0,1,2,3,0,0,7,1,7,3,7,0,0,0,160,14.95356129,17.32965355,5.824404498,0.0,0.0,5.969305288,9.778515705,9.967957042,0.0,0.0,30.33183534,43.02501757,31.89747986,13.02770359,6.715601026,4,9.531400138,17.60503084,0.0,14.95193556,0.0,26.18620207,36.45784952,65.8546831,11.51833249,13.25806452,10.21669833,11.63572556,0.0,0.0,47.16239203,22.37304338,0.0,24.47146181,54.72778012,0.0,11.51833249,80.24,5.006480826,0.0,27.84566344,3.249989528,3.518038937,1.885938927,16.27271739,3.974554621,4.413282999,0.0,0,0,0,3,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.589370236
ATIPRIMOD (BRD:BRD-K38527262-300-01-0),-0.1793224943990651,0,2.985231467,2.443955287,-2.45239279,2.529693104,-2.366886615,4.971028505,0.064412593,15.16624003,9.601737612,1.763606655,331.8790776,17.46840904,17.20813569,17.20813569,11.60634399,11.05422085,11.05422085,8.906583985,8.906583985,7.29246925,7.29246925,5.680793644,5.680793644,0.0,0.0,0.0,0.0,10.82998094,0.0,103.4767547,0.0,0.0,37.49476826,0.0,0.833333333,1.458333333,2.0,1.0,-0.08,24,292.256,277984.7542,20.23458613,9.571588644,5.207682322,151.9110405,2.787838719,0.303836917,2.787838719,0.003846626,0.694625614,0.003846626,0.694625614,-0.303836917,5.571,106.612,336.608,0,2,1,1,2,0,0,0,0,0,0,2,0,2,1,10,1,1,2,142,9.799819462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.53659204,94.92033595,6.544756406,0.0,8.069880617,2,0.0,0.0,0.0,9.799819462,10.82998094,91.90316503,39.26853844,0.0,0.0,23.375,0.0,0.0,0.0,0.0,49.0683579,0.0,10.82998094,91.90316503,0.0,0.0,0.0,6.48,0.0,0.0,5.353611843,0.0,1.407843117,0.0,0.0,14.60413139,17.13441365,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.514284214
SULISOBENZONE (BRD:BRD-K38602774-001-03-2),-0.1788918443472777,0,2.454893598,2.228519614,-2.100376637,2.321408134,-2.067036626,7.855379941,0.103127869,32.23978392,10.02235634,2.629387288,780.6115735,15.62095586,10.97712053,11.79361711,9.841553821,5.825519184,7.265582513,4.190432255,5.58039134,2.840472346,3.715321044,1.837218899,2.500497454,26.54636711,18.31886156,0.0,16.87641482,0.0,12.13273414,19.24253168,18.19910121,0.0,0.0,9.289612827,1.142857143,1.761904762,2.285714286,0.071428571,-2.38,21,296.215,42155.43287,15.01735609,5.54750669,3.037598577,120.9163186,12.26866544,0.507039141,12.26866544,0.297750923,0.241087963,0.297750923,-4.588876895,-0.507039141,1.8785,74.3479,308.311,2,6,0,0,0,0,2,0,2,0,0,5,2,7,0,4,0,0,0,110,9.843390349,16.39450714,5.783244946,0.0,10.11812686,0.0,9.347287058,0.0,8.417796984,0.0,30.33183534,6.066367068,11.62981856,12.67324903,3.967089683,2,27.60847439,15.90137181,0.0,0.0,0.0,4.895483476,7.109797541,53.59147246,11.49902367,11.14285714,4.736862954,0.0,11.49902367,0.0,30.97011674,10.11812686,0.0,15.92144017,47.36005295,0.0,0.0,100.9,36.58625157,0.0,11.68725907,9.867078609,0.035999622,-1.256140926,9.90241326,0.0,0.0,-3.406194544,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0.660373645
TIOXOLONE (BRD:BRD-K41876534-001-13-7),-0.1710065196650363,0,2.274387541,2.003090421,-1.865619144,2.205398636,-1.786647268,7.156362021,0.473700454,32.13351517,10.32153995,2.920939355,440.1275666,7.844934983,5.404009274,6.220505855,5.254020195,2.982261396,3.798757977,2.085162142,3.062446027,1.313877097,2.121057527,0.861224814,1.509496275,0.0,4.794537184,0.0,10.68879385,5.583020142,16.03670579,12.13273414,6.066367068,0.0,0.0,9.523678332,1.454545455,2.272727273,3.090909091,0.0,-1.29,11,164.141,479.8957712,6.422093116,2.097850526,1.009461934,65.5140036,10.67040816,0.507820956,10.67040816,0.395589032,0.110231481,0.395589032,-0.342037037,-0.507820956,1.5601,42.0258,168.173,1,3,0,0,0,0,1,1,2,0,0,4,1,4,1,0,0,0,0,56,9.523678332,5.749511833,5.583020142,0.0,0.0,4.939282021,0.0,4.794537184,0.0,0.0,11.33678588,12.13273414,6.066367068,4.699919916,1.224781038,2,9.523678332,21.61972594,0.0,0.0,0.0,0.0,0.0,27.93292041,5.749511833,10.54545455,4.939282021,0.0,5.749511833,11.33678588,5.106527395,0.0,0.0,0.0,27.41078933,0.0,10.28294006,50.44,5.508888889,1.0275,10.32837113,8.982091837,0.444444444,0.110231481,4.598472222,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.648986095
