Drug,Pearson_Correlation,Label,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,Phi,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SPS,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Nhpyrrole,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_guanido,fr_halogen,fr_imidazole,fr_ketone,fr_ketone_Topliss,fr_methoxy,fr_morpholine,fr_nitro,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_pyridine,fr_thiazole,fr_thiophene,fr_unbrch_alkane,qed
ITE (BRD:BRD-K60298136-001-03-3),-0.1815707638023712,0,3.123532264,2.001136037,803.4714835,14.1125197,10.54430837,11.36080495,9.7027086,5.8510364,6.730689212,4.106538455,4.964641307,2.926829385,3.767883785,1.950934044,2.691171593,5.969305288,9.589074368,16.48479664,5.563451492,22.23971081,12.48986031,6.196843572,24.26546827,14.70482,0.0,1.3,2.1,2.9,0.071428571,-2.47,20,276.232,70738.63518,12.55807686,4.897926027,1.995949169,117.7707493,12.4214555,12.4214555,0.153417842,-0.542382711,2.642,75.1847,286.312,1,5,0,0,0,0,1,2,3,0,0,5,1,6,2,3,0,0,0,0,100,9.720841475,0.0,10.70155169,5.783244946,0.0,5.969305288,4.794537184,9.778515705,0.0,11.33678588,18.19910121,6.066367068,22.47983127,12.67324903,3.075426574,3,14.32593732,33.99226104,0.0,9.967957042,0.0,0.0,7.109797541,52.1073778,0.0,10.65,0.0,0.0,0.0,11.33678588,28.83030482,4.736862954,0.0,25.85407755,35.84237462,0.0,10.90292493,72.05,4.578038439,1.132769038,30.84238647,2.635136711,1.590420918,-0.748305802,7.530016426,1.658943925,0.0,1.280593873,0,0,0,0,2,1,0,0,0,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.593187321
PHORTRESS (BRD:BRD-K74558903-300-01-5),-0.1655957863278448,0,3.060894,1.735351033,956.3047491,19.38854058,15.1662542,15.98275078,12.97356555,8.91314106,9.729637641,6.540966106,7.571614988,4.386861858,5.472334566,2.826116482,3.768452042,6.041840829,9.184952232,11.72440057,18.48227875,39.36347612,23.46952001,6.066367068,25.12283841,10.30076712,11.46733495,1.259259259,2.074074074,2.814814815,0.3,-2.35,27,363.312,1427331.603,19.41264832,8.559287154,4.683615744,161.141469,13.35789285,13.35789285,0.195987294,-0.54649556,3.80562,109.2615,386.496,5,5,0,0,0,1,2,1,3,1,0,5,3,7,1,7,0,0,0,0,142,16.78412356,10.82484454,0.0,5.907179729,0.0,0.0,4.794537184,9.374393569,0.0,11.33678588,6.420821623,62.20542369,17.31720483,16.25846146,6.154015979,3,9.184952232,33.14797252,0.0,4.983978521,11.46733495,32.2280429,11.86154501,47.77887474,10.57107519,12.2962963,16.78412356,10.07780132,0.0,11.33678588,23.47775549,4.794537184,12.74095804,24.82591636,36.39820241,0.0,20.78769582,94.03,14.29297172,1.508299082,16.75644604,3.70271452,14.62529983,-0.49099443,9.768186891,2.309928331,2.527148016,0.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.538365238
NU-6027 (BRD:BRD-K03294269-001-08-0),-0.1600343441875142,0,2.368299904,2.052249003,431.6869032,12.95781916,10.13282886,10.13282886,8.7027086,6.095502595,6.095502595,4.527132632,4.527132632,3.168078664,3.168078664,2.204947967,2.204947967,0.0,4.907065244,23.33357667,12.52478801,12.84164325,19.26246487,0.0,0.0,15.14483897,16.20419791,1.222222222,1.944444444,2.611111111,0.636363636,-1.92,18,234.154,13745.61265,12.5346726,5.612224588,2.848586019,104.9075213,10.6797334,10.6797334,0.015236888,-0.069435705,1.998,68.3818,251.29,4,7,1,0,1,0,0,1,1,0,0,7,2,7,1,4,1,0,1,0,98,16.20419791,0.0,5.817862778,11.63572556,5.879988336,0.0,0.0,0.0,9.967957042,4.907065244,19.26246487,23.93643122,0.0,6.606881965,3.908188764,2,4.736862954,17.45358833,0.0,9.967957042,11.09478797,32.10410811,18.07421692,4.907065244,5.879988336,16.44444444,16.20419791,17.45358833,5.879988336,0.0,16.57483901,0.0,10.82497129,32.10410811,5.176881928,0.0,0.0,116.48,5.524305556,0.0,18.21014511,2.79434949,10.93298273,0.519377887,0.0,6.006524418,0.512314815,0.0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790190763
FOSTAMATINIB (BRD:BRD-K85178109-001-02-3),-0.1588670833741223,0,2.894626693,1.624196905,1460.178748,29.24191173,21.9600558,22.85448299,18.8450169,11.436029,12.96632574,8.666735288,9.90608808,5.48674677,5.938566187,3.689406111,3.955296173,31.87896525,13.75000052,29.15143945,22.93592177,11.0967533,47.30960116,12.13273414,0.0,30.10925993,28.73427502,1.075,1.75,2.35,0.304347826,-4.24,40,554.258,419752175.8,28.76004154,11.09336918,6.149223695,227.0106611,14.66620242,14.66620242,0.007466977,-4.909978552,3.0945,139.0795,580.466,4,15,0,1,1,1,1,2,3,0,0,12,4,17,3,10,0,0,0,0,214,39.36785223,12.54867953,40.30253271,11.69785111,5.907179729,7.822697123,14.21819408,18.92342037,4.983978521,0.0,0.0,25.98020854,17.82012041,27.5262362,7.976143956,4,47.0080227,42.81919074,0.0,14.95193556,0.0,19.44852521,43.59369631,36.27953269,22.99804733,14.2,34.48093875,33.47972894,22.99804733,7.822697123,64.30719868,13.88333263,5.817220841,13.8474744,30.46231185,0.0,0.0,186.72,52.11159034,0.0,44.40700553,5.638394934,-0.910602239,-0.550024099,6.121114641,0.933924152,2.158213939,-0.520728312,0,0,0,0,3,0,0,0,0,1,1,0,0,4,2,0,0,0,0,0,0,1,5,0,1,1,0,4,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0.25622599
ONCRASIN-1 (BRD:BRD-K43449605-001-01-0),-0.1567199611719817,0,2.798040979,2.051305614,728.0936772,13.24227621,10.21403583,10.96996478,9.275188245,6.052339084,6.430303557,4.473809012,4.910244793,3.212548497,3.464524813,2.286418131,2.412406288,0.0,4.794537184,0.0,0.0,39.88337816,0.0,0.0,54.72778012,4.567099648,11.60093989,1.052631579,1.789473684,2.526315789,0.0625,-2.06,19,257.635,38859.19312,11.99858661,4.90223729,2.269969816,115.7839663,11.10011441,11.10011441,0.726447713,0.726447713,4.1555,77.8795,269.731,0,2,0,0,0,0,2,1,3,0,0,2,0,3,1,3,0,0,0,0,94,4.567099648,0.0,6.286160523,0.0,0.0,0.0,4.794537184,0.0,0.0,0.0,41.93277523,23.7625527,34.23060972,0.0,3.095785196,3,4.794537184,28.79002535,0.0,4.567099648,0.0,6.544756406,0.0,70.87731642,0.0,10.78947368,0.0,0.0,0.0,11.60093989,10.85326017,6.544756406,0.0,15.92144017,54.72778012,5.022633314,10.90292493,22.0,2.085619803,5.883145182,11.10011441,1.723294683,2.950662565,0.0,15.6753272,2.798579984,0.727700617,0.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6546986
RUXOLITINIB-(S) (BRD:BRD-K19601669-001-03-5),-0.1540808786230275,0,3.324335399,1.701320839,849.2211357,15.6480536,12.81305377,12.81305377,11.36450464,8.061480309,8.061480309,6.145373004,6.145373004,4.813106787,4.813106787,3.656009696,3.656009696,0.0,5.261891555,6.041840829,12.33872767,22.29078092,25.68328649,6.327320075,29.33870072,26.11983868,0.0,1.347826087,2.217391304,3.043478261,0.411764706,-2.68,23,288.229,488454.5731,13.94700176,5.840473736,2.482270158,133.7321371,9.17987278,9.17987278,0.16648408,0.16648408,3.46638,86.3347,306.373,1,6,1,0,1,0,0,3,3,1,0,5,1,6,3,4,1,0,1,0,116,4.983978521,11.9744973,0.0,0.0,0.0,0.0,4.681802935,9.967957042,10.36057336,0.0,12.84164325,24.82591636,23.34336285,30.42265533,3.541612933,4,0.0,11.03340144,5.261891555,24.73242031,5.917906046,38.14594894,0.0,30.98421786,17.3266008,16.65217391,0.0,0.0,0.0,0.0,24.73242031,0.0,17.24901891,38.14594894,30.98421786,0.0,22.29078092,83.18,1.967397014,0.0,11.74382816,14.71261426,2.675633425,0.555626575,4.470636705,12.70759719,0.0,0.0,0,0,0,0,5,1,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799678778
RITA (BRD:BRD-K00317371-001-06-1),-0.152602050728522,0,3.163505475,1.89814067,621.4973732,13.24227621,9.99748724,11.6304804,9.296356296,5.796357992,7.429351154,4.01204275,6.348698641,2.726674878,4.89577755,1.79337322,3.452342407,0.0,0.0,13.21376393,0.0,31.02908361,22.67357176,0.0,36.39820241,0.0,14.63020573,0.736842105,1.210526316,1.578947368,0.142857143,-1.4,19,280.285,48525.01048,12.62457309,5.303213611,2.502868945,117.9389991,9.068748379,9.068748379,0.058548622,0.058548622,3.7212,77.1796,292.381,2,3,0,0,0,0,0,3,3,0,0,5,2,5,3,4,0,0,0,0,98,14.63020573,11.52049484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.67357176,0.0,36.39820241,9.754294387,22.96805832,3.52372673,3,14.63020573,22.67357176,0.0,0.0,0.0,13.21376393,0.0,46.1524968,21.27478923,11.05263158,0.0,0.0,0.0,22.67357176,10.21305479,13.21376393,0.0,9.754294387,40.81535335,0.0,21.27478923,53.6,5.828977702,3.047724028,3.86273732,18.13749676,0.0,1.608608277,11.56402534,0.0,0.117097243,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.770256841
CURCUMOL (BRD:BRD-K41933240-001-02-4),-0.1489460605514681,0,2.654813582,2.039864214,361.9333206,12.42228525,11.20039687,11.20039687,7.889299871,6.990898201,6.990898201,6.822472957,6.822472957,5.575341193,5.575341193,4.635435541,4.635435541,5.787111153,5.106527395,11.51895686,24.17453976,6.420821623,18.41474778,0.0,0.0,27.35014728,4.736862954,1.411764706,2.117647059,2.764705882,0.866666667,-0.34,17,212.163,8383.901292,11.73370685,3.357668971,1.342158133,104.0491231,10.79886574,10.79886574,0.098194444,-0.930208333,3.1123,67.3558,236.355,1,2,1,2,3,0,0,0,0,5,2,2,1,2,2,1,1,2,3,1,96,9.843390349,0.0,5.787111153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.92325181,31.09827696,18.25663372,5.601050811,2.317523729,3,9.843390349,0.0,0.0,0.0,23.67162418,57.84266005,0.0,12.15204021,0.0,53.23529412,0.0,0.0,0.0,0.0,16.49468936,4.736862954,23.67162418,46.45449809,12.15204021,0.0,0.0,29.46,6.247638889,0.0,0.0,10.79886574,1.129814815,0.852083333,0.0,4.075873488,10.89572373,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708825985
DECERNOTINIB (BRD:BRD-A95300432-001-01-3),-0.145261898435405,0,3.094525406,1.83745832,986.6114309,20.36359655,15.26209767,15.26209767,13.21627526,8.604363317,8.604363317,6.475922804,6.475922804,4.409197123,4.409197123,2.66298723,2.66298723,24.16715991,17.96578233,6.420821623,17.2894445,10.94967571,13.12058077,31.45015848,11.38315567,25.25270269,0.0,1.214285714,2.0,2.714285714,0.333333333,-3.17,28,373.233,1838408.031,19.58770068,7.450357379,4.210882892,158.3507137,12.40889827,12.40889827,0.256976255,-4.476416249,3.279,98.5031,392.385,3,7,0,0,0,1,0,3,3,1,0,5,3,10,3,6,0,0,0,0,148,15.61755573,23.54872166,5.824404498,5.907179729,0.0,6.176298517,4.794537184,14.95193556,13.17124514,0.0,6.9237372,31.54366003,29.54020642,0.0,5.21197751,3,17.96578233,22.75844394,0.0,25.25270269,0.0,31.98351979,11.86154501,36.78963192,11.38785599,13.89285714,10.63357721,18.98910792,0.0,0.0,44.10307399,4.794537184,0.0,20.26829602,36.78963192,0.0,22.42125742,95.59,37.2266948,0.0,28.22250314,5.686893519,0.147599846,-0.030617397,5.223042705,0.686410769,1.837472618,0.0,0,0,0,0,4,1,0,0,0,1,1,0,0,3,3,0,0,0,1,3,0,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0.598409958
R406 (BRD:BRD-K20285085-001-07-1),-0.1436253095600095,0,2.809545368,1.582289852,1227.445058,24.45745468,19.14759806,19.14759806,16.23304513,10.11876413,10.11876413,7.663899864,7.663899864,4.913538066,4.913538066,3.185871169,3.185871169,11.41827165,9.184952232,29.30910734,28.68543361,6.196843572,21.32939262,38.11294267,0.0,30.90230137,18.94745182,1.029411765,1.735294118,2.382352941,0.272727273,-4.35,34,447.277,35160434.8,22.83008766,8.885387897,4.420681793,194.1841241,14.43896256,14.43896256,0.106035799,-1.018077532,3.6332,122.2271,470.461,3,11,0,1,1,1,1,2,3,0,0,10,3,12,3,7,0,0,0,0,178,34.89781763,5.817862778,40.30253271,11.69785111,5.907179729,0.0,4.794537184,14.35837209,4.983978521,0.0,0.0,25.98020854,17.82012041,27.5262362,5.966299547,4,28.13240405,34.99649362,0.0,14.95193556,0.0,19.44852521,37.27975844,36.27953269,22.99804733,13.76470588,34.89781763,33.47972894,22.99804733,0.0,47.78955873,4.794537184,5.817220841,13.8474744,30.46231185,0.0,0.0,128.75,36.08576834,0.0,24.58718119,8.452987447,-0.488966674,1.101475646,6.534743798,1.015345149,3.298055578,4.496742855,0,0,0,0,3,0,0,0,0,1,1,0,0,3,3,0,0,0,0,0,0,1,5,0,1,1,0,4,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0.470688069
