Drug,Pearson_Correlation,Label,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,Phi,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SPS,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_Ndealkylation1,fr_Nhpyrrole,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_halogen,fr_ketone,fr_ketone_Topliss,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_piperdine,fr_pyridine,fr_sulfide,fr_thiophene,fr_unbrch_alkane,qed
NU-6027 (BRD:BRD-K03294269-001-08-0),-0.2562621082678682,0,2.368299904,2.052249003,431.6869032,12.95781916,10.13282886,10.13282886,8.7027086,6.095502595,6.095502595,4.527132632,4.527132632,3.168078664,3.168078664,2.204947967,2.204947967,0.0,4.907065244,0.0,23.33357667,12.52478801,12.84164325,19.26246487,0.0,0.0,15.14483897,16.20419791,1.222222222,1.944444444,2.611111111,0.636363636,-1.92,18,234.154,13745.61265,12.5346726,5.612224588,2.848586019,104.9075213,10.6797334,10.6797334,0.015236888,-0.069435705,1.998,68.3818,251.29,4,7,1,0,1,0,0,1,1,0,0,7,2,7,1,4,1,0,1,98,16.20419791,0.0,5.817862778,11.63572556,5.879988336,0.0,0.0,0.0,9.967957042,4.907065244,19.26246487,23.93643122,0.0,6.606881965,3.908188764,2,4.736862954,17.45358833,0.0,9.967957042,11.09478797,32.10410811,18.07421692,4.907065244,5.879988336,16.44444444,16.20419791,17.45358833,5.879988336,0.0,16.57483901,0.0,10.82497129,32.10410811,5.176881928,0.0,0.0,116.48,5.524305556,0.0,18.21014511,2.79434949,10.93298273,0.519377887,0.0,6.006524418,0.512314815,0.0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790190763
ONCRASIN-1 (BRD:BRD-K43449605-001-01-0),-0.2405184072039795,0,2.798040979,2.051305614,728.0936772,13.24227621,10.21403583,10.96996478,9.275188245,6.052339084,6.430303557,4.473809012,4.910244793,3.212548497,3.464524813,2.286418131,2.412406288,0.0,4.794537184,0.0,0.0,0.0,39.88337816,0.0,0.0,54.72778012,4.567099648,11.60093989,1.052631579,1.789473684,2.526315789,0.0625,-2.06,19,257.635,38859.19312,11.99858661,4.90223729,2.269969816,115.7839663,11.10011441,11.10011441,0.726447713,0.726447713,4.1555,77.8795,269.731,0,2,0,0,0,0,2,1,3,0,0,2,0,3,1,3,0,0,0,94,4.567099648,0.0,6.286160523,0.0,0.0,0.0,4.794537184,0.0,0.0,0.0,41.93277523,23.7625527,34.23060972,0.0,3.095785196,3,4.794537184,28.79002535,0.0,4.567099648,0.0,6.544756406,0.0,70.87731642,0.0,10.78947368,0.0,0.0,0.0,11.60093989,10.85326017,6.544756406,0.0,15.92144017,54.72778012,5.022633314,10.90292493,22.0,2.085619803,5.883145182,11.10011441,1.723294683,2.950662565,0.0,15.6753272,2.798579984,0.727700617,0.0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6546986
PHORTRESS (BRD:BRD-K74558903-300-01-5),-0.2355193183158617,0,3.060894,1.735351033,956.3047491,19.38854058,15.1662542,15.98275078,12.97356555,8.91314106,9.729637641,6.540966106,7.571614988,4.386861858,5.472334566,2.826116482,3.768452042,6.041840829,9.184952232,0.0,11.72440057,18.48227875,39.36347612,23.46952001,6.066367068,25.12283841,10.30076712,11.46733495,1.259259259,2.074074074,2.814814815,0.3,-2.35,27,363.312,1427331.603,19.41264832,8.559287154,4.683615744,161.141469,13.35789285,13.35789285,0.195987294,-0.54649556,3.80562,109.2615,386.496,5,5,0,0,0,1,2,1,3,1,0,5,3,7,1,7,0,0,0,142,16.78412356,10.82484454,0.0,5.907179729,0.0,0.0,4.794537184,9.374393569,0.0,11.33678588,6.420821623,62.20542369,17.31720483,16.25846146,6.154015979,3,9.184952232,33.14797252,0.0,4.983978521,11.46733495,32.2280429,11.86154501,47.77887474,10.57107519,12.2962963,16.78412356,10.07780132,0.0,11.33678588,23.47775549,4.794537184,12.74095804,24.82591636,36.39820241,0.0,20.78769582,94.03,14.29297172,1.508299082,16.75644604,3.70271452,14.62529983,-0.49099443,9.768186891,2.309928331,2.527148016,0.0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0,0,0,0,1,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.538365238
TRETAZICAR (BRD:BRD-K08748705-001-08-2),-0.2305179148846332,0,3.099840805,2.673854578,566.321577,13.44722928,9.029146609,9.029146609,8.413591358,4.931072487,4.931072487,3.723590002,3.723590002,2.539632482,2.539632482,1.604625903,1.604625903,27.12857438,25.02317372,0.0,11.25083777,13.08951281,12.13273414,0.0,4.899909731,0.0,0.0,5.733667477,1.166666667,1.722222222,2.111111111,0.222222222,-2.71,18,244.122,16894.13239,11.7660252,3.946249428,1.925274491,100.0875962,11.13199358,11.13199358,0.18,-0.986390779,0.4219,60.4817,252.186,2,9,0,1,1,1,1,0,1,0,0,6,1,9,1,4,0,1,1,94,10.63357721,11.25083777,0.0,0.0,17.28195228,0.0,25.02317372,0.0,0.0,0.0,0.0,6.066367068,13.08951281,15.91298917,2.579537235,2,14.64115928,22.96933855,0.0,0.0,5.733667477,0.0,17.98942254,37.92482217,0.0,13.22222222,10.63357721,17.06215882,0.0,0.0,28.84331464,0.0,20.22863654,10.35798868,12.13273414,0.0,0.0,132.38,0.0,0.0,32.78194917,21.60944917,3.837996032,-0.986390779,1.874351852,0.0,1.215977891,0.0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.468711319
ITE (BRD:BRD-K60298136-001-03-3),-0.2211067070406553,0,3.123532264,2.001136037,803.4714835,14.1125197,10.54430837,11.36080495,9.7027086,5.8510364,6.730689212,4.106538455,4.964641307,2.926829385,3.767883785,1.950934044,2.691171593,5.969305288,9.589074368,0.0,16.48479664,5.563451492,22.23971081,12.48986031,6.196843572,24.26546827,14.70482,0.0,1.3,2.1,2.9,0.071428571,-2.47,20,276.232,70738.63518,12.55807686,4.897926027,1.995949169,117.7707493,12.4214555,12.4214555,0.153417842,-0.542382711,2.642,75.1847,286.312,1,5,0,0,0,0,1,2,3,0,0,5,1,6,2,3,0,0,0,100,9.720841475,0.0,10.70155169,5.783244946,0.0,5.969305288,4.794537184,9.778515705,0.0,11.33678588,18.19910121,6.066367068,22.47983127,12.67324903,3.075426574,3,14.32593732,33.99226104,0.0,9.967957042,0.0,0.0,7.109797541,52.1073778,0.0,10.65,0.0,0.0,0.0,11.33678588,28.83030482,4.736862954,0.0,25.85407755,35.84237462,0.0,10.90292493,72.05,4.578038439,1.132769038,30.84238647,2.635136711,1.590420918,-0.748305802,7.530016426,1.658943925,0.0,1.280593873,0,0,0,0,0,2,1,0,0,0,2,2,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.593187321
FLI-06 (BRD:BRD-A44500574-001-01-8),-0.2150822084402097,0,2.721203043,1.748598317,999.6635326,23.04324112,18.926868,18.926868,15.15950428,11.42415468,11.42415468,10.05538662,10.05538662,6.854133658,6.854133658,5.334487352,5.334487352,16.75912314,19.70339264,0.0,28.95889337,29.68988427,37.80114743,12.13273414,12.13273414,20.7712116,0.0,9.729267686,1.125,1.78125,2.40625,0.56,-2.83,32,408.284,12073999.67,22.36701357,8.601331922,4.381286382,187.6430944,13.39899341,13.39899341,0.008037814,-0.706208428,5.2882,120.4494,438.524,0,7,2,1,3,0,1,0,1,2,0,6,0,7,1,4,1,0,1,170,4.736862954,12.02187243,5.783244946,0.0,5.687386275,5.969305288,24.69579737,0.0,0.0,0.0,32.40103016,50.00628728,41.45329065,4.923311049,6.01206587,4,19.24924837,23.15162151,0.0,0.0,16.32530125,77.73883539,0.0,51.21338188,0.0,25.71875,0.0,5.687386275,0.0,0.0,28.49151267,14.32593732,21.44721478,77.1983205,40.52801685,0.0,0.0,98.87,5.908934358,0.0,42.09493354,11.13497242,2.411120451,-1.608985969,6.161418201,5.902825632,5.911448038,0.0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.361326913
YC-1 (BRD:BRD-K60476892-001-17-9),-0.1823356902421258,0,3.208686768,1.826682316,938.3353597,15.6480536,12.5149556,12.5149556,11.34766789,7.543741673,7.543741673,5.43307644,5.43307644,3.884008166,3.884008166,2.776463098,2.776463098,0.0,5.106527395,0.0,6.606881965,18.06525124,16.59685293,5.563451492,6.066367068,47.14637241,18.19910121,9.515832745,0.913043478,1.695652174,2.47826087,0.105263158,-2.85,23,288.221,457597.2373,13.78829658,5.740569399,2.533574229,133.1529368,9.191797601,9.191797601,0.108475736,-0.108475736,3.8369,88.9018,304.349,1,4,0,0,0,0,2,2,4,0,0,4,1,4,2,4,0,0,0,114,9.523678332,18.06105738,5.760247419,0.0,0.0,0.0,4.681802935,0.0,5.098681808,0.0,48.53093655,23.7625527,5.386224214,12.06145712,3.441420583,4,9.523678332,10.90292493,0.0,9.780484743,0.0,13.15163837,0.0,78.05373666,11.45417541,11.17391304,0.0,0.0,0.0,0.0,14.88701214,13.15163837,0.0,11.32369891,71.14718869,0.0,22.35710035,51.19,7.651911848,0.0,0.0,14.97933398,3.062340587,1.221066828,21.99052979,0.0,0.59481697,0.0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.623040534
ATIPRIMOD (BRD:BRD-K38527262-300-01-0),-0.1658229348375193,0,2.985231467,1.763606655,331.8790776,17.46840904,17.20813569,17.20813569,11.60634399,11.05422085,11.05422085,8.906583985,8.906583985,7.29246925,7.29246925,5.680793644,5.680793644,0.0,0.0,0.0,0.0,10.82998094,0.0,103.4767547,0.0,0.0,37.49476826,0.0,0.833333333,1.458333333,2.0,1.0,-0.08,24,292.256,277984.7542,20.23458613,9.571588644,5.207682322,151.9110405,2.787838719,2.787838719,0.694625614,0.694625614,5.571,106.612,336.608,0,2,1,1,2,0,0,0,0,0,0,2,0,2,1,10,1,1,2,142,9.799819462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.53659204,94.92033595,6.544756406,0.0,8.069880617,2,0.0,0.0,0.0,9.799819462,10.82998094,91.90316503,39.26853844,0.0,0.0,23.375,0.0,0.0,0.0,0.0,49.0683579,0.0,10.82998094,91.90316503,0.0,0.0,0.0,6.48,0.0,0.0,5.353611843,0.0,1.407843117,0.0,0.0,14.60413139,17.13441365,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.514284214
TETRANDRINE (BRD:BRD-K08078237-001-19-8),-0.1608630488146705,0,3.07029372,1.466941389,1753.790424,31.94865403,27.51476085,27.51476085,22.39724304,15.90877912,15.90877912,12.45022485,12.45022485,9.84879439,9.84879439,7.275399896,7.275399896,0.0,0.0,0.0,12.08368166,40.24658283,55.64921412,22.25380597,28.43919017,18.19910121,66.35973291,28.42117772,0.608695652,1.239130435,1.956521739,0.368421053,-4.4,46,580.426,31329552955.0,30.26435986,12.41910677,5.392702054,270.8953206,7.029380874,7.029380874,0.000437085,0.000437085,7.1624,177.682,622.762,0,8,0,4,4,0,4,0,4,2,6,8,0,8,4,4,0,0,0,240,28.42117772,5.749511833,34.497071,5.749511833,0.0,0.0,9.799819462,0.0,0.0,0.0,18.19910121,110.0604574,30.73664596,28.43919017,8.170789488,8,28.42117772,0.0,0.0,9.799819462,0.0,37.76696815,55.62404694,94.04437963,45.99609467,19.17391304,28.42117772,0.0,45.99609467,0.0,65.4238664,25.68328649,0.0,45.46439061,60.66367068,0.0,0.0,61.86,37.09118334,0.0,4.814175686,0.0,7.153427575,5.410612843,21.20085079,3.372833672,1.859340884,11.09757521,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,2,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237693599
GSK3117391 (BRD:BRD-K00004614-001-01-9),-0.1570284748398904,0,3.264541248,1.549930075,652.5261519,20.47648073,17.06855505,17.06855505,14.15219834,10.96073625,10.96073625,8.292778467,8.292778467,6.105182033,6.105182033,4.386610235,4.386610235,5.907179729,9.589074368,0.0,24.53593413,18.88348408,49.78230922,19.26246487,11.67694017,12.13273414,10.30076712,9.944115979,1.103448276,1.827586207,2.482758621,0.681818182,-1.99,29,370.259,5392081.954,21.71249998,11.26087134,6.784911229,172.1279908,12.89271044,12.89271044,0.090242286,-0.422553655,3.0439,108.0379,403.523,3,7,2,0,2,1,0,1,1,1,0,6,3,7,1,9,2,0,2,160,10.05365156,12.14580722,0.0,5.907179729,0.0,5.969305288,19.78030591,5.480096598,0.0,0.0,25.32883194,62.49347597,24.8563496,0.0,8.431092023,3,19.53319035,11.87648502,0.0,15.78086372,5.917906046,89.31960147,0.0,29.5869572,0.0,19.06896552,10.7968852,0.0,0.0,0.0,34.21352378,27.29151535,5.917906046,75.46559572,18.32957771,0.0,0.0,100.55,5.823886967,0.0,28.4030459,12.00132438,3.414748769,-0.181558473,3.587421775,12.55694473,0.560852623,0.0,0,0,0,0,0,1,0,0,0,0,2,2,1,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.332850043
