Drug,Pearson_Correlation,Label,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,Phi,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SPS,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Nhpyrrole,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_halogen,fr_imidazole,fr_ketone,fr_ketone_Topliss,fr_methoxy,fr_nitrile,fr_nitro,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_pyridine,fr_sulfide,fr_thiazole,fr_thiophene,fr_unbrch_alkane,qed
PHORTRESS (BRD:BRD-K74558903-300-01-5),-0.2566013472512105,0,3.060894,1.735351033,956.3047491,19.38854058,15.1662542,15.98275078,12.97356555,8.91314106,9.729637641,6.540966106,7.571614988,4.386861858,5.472334566,2.826116482,3.768452042,6.041840829,9.184952232,11.72440057,18.48227875,39.36347612,23.46952001,6.066367068,25.12283841,10.30076712,11.46733495,1.259259259,2.074074074,2.814814815,0.3,-2.35,27,363.312,1427331.603,19.41264832,8.559287154,4.683615744,161.141469,13.35789285,13.35789285,0.195987294,-0.54649556,3.80562,109.2615,386.496,5,5,0,0,0,1,2,1,3,1,0,5,3,7,1,7,0,0,0,142,16.78412356,10.82484454,0.0,5.907179729,0.0,0.0,4.794537184,9.374393569,0.0,11.33678588,6.420821623,62.20542369,17.31720483,16.25846146,6.154015979,3,9.184952232,33.14797252,0.0,4.983978521,11.46733495,32.2280429,11.86154501,47.77887474,10.57107519,12.2962963,16.78412356,10.07780132,0.0,11.33678588,23.47775549,4.794537184,12.74095804,24.82591636,36.39820241,0.0,20.78769582,94.03,14.29297172,1.508299082,16.75644604,3.70271452,14.62529983,-0.49099443,9.768186891,2.309928331,2.527148016,0.0,0,0,0,1,0,0,1,1,0,1,1,2,0,0,0,0,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.538365238
NU-6027 (BRD:BRD-K03294269-001-08-0),-0.2300408722608637,0,2.368299904,2.052249003,431.6869032,12.95781916,10.13282886,10.13282886,8.7027086,6.095502595,6.095502595,4.527132632,4.527132632,3.168078664,3.168078664,2.204947967,2.204947967,0.0,4.907065244,23.33357667,12.52478801,12.84164325,19.26246487,0.0,0.0,15.14483897,16.20419791,1.222222222,1.944444444,2.611111111,0.636363636,-1.92,18,234.154,13745.61265,12.5346726,5.612224588,2.848586019,104.9075213,10.6797334,10.6797334,0.015236888,-0.069435705,1.998,68.3818,251.29,4,7,1,0,1,0,0,1,1,0,0,7,2,7,1,4,1,0,1,98,16.20419791,0.0,5.817862778,11.63572556,5.879988336,0.0,0.0,0.0,9.967957042,4.907065244,19.26246487,23.93643122,0.0,6.606881965,3.908188764,2,4.736862954,17.45358833,0.0,9.967957042,11.09478797,32.10410811,18.07421692,4.907065244,5.879988336,16.44444444,16.20419791,17.45358833,5.879988336,0.0,16.57483901,0.0,10.82497129,32.10410811,5.176881928,0.0,0.0,116.48,5.524305556,0.0,18.21014511,2.79434949,10.93298273,0.519377887,0.0,6.006524418,0.512314815,0.0,0,0,2,2,0,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790190763
ONCRASIN-1 (BRD:BRD-K43449605-001-01-0),-0.2192398379045538,0,2.798040979,2.051305614,728.0936772,13.24227621,10.21403583,10.96996478,9.275188245,6.052339084,6.430303557,4.473809012,4.910244793,3.212548497,3.464524813,2.286418131,2.412406288,0.0,4.794537184,0.0,0.0,39.88337816,0.0,0.0,54.72778012,4.567099648,11.60093989,1.052631579,1.789473684,2.526315789,0.0625,-2.06,19,257.635,38859.19312,11.99858661,4.90223729,2.269969816,115.7839663,11.10011441,11.10011441,0.726447713,0.726447713,4.1555,77.8795,269.731,0,2,0,0,0,0,2,1,3,0,0,2,0,3,1,3,0,0,0,94,4.567099648,0.0,6.286160523,0.0,0.0,0.0,4.794537184,0.0,0.0,0.0,41.93277523,23.7625527,34.23060972,0.0,3.095785196,3,4.794537184,28.79002535,0.0,4.567099648,0.0,6.544756406,0.0,70.87731642,0.0,10.78947368,0.0,0.0,0.0,11.60093989,10.85326017,6.544756406,0.0,15.92144017,54.72778012,5.022633314,10.90292493,22.0,2.085619803,5.883145182,11.10011441,1.723294683,2.950662565,0.0,15.6753272,2.798579984,0.727700617,0.0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6546986
NVP-BVU972 (BRD:BRD-K77943374-001-02-8),-0.2052859237527803,0,3.276775144,1.549301164,1233.506022,17.50986092,14.24124132,14.24124132,12.75915283,8.425234604,8.425234604,6.348024249,6.348024249,4.486208287,4.486208287,3.192938404,3.192938404,0.0,0.0,0.0,0.0,39.92223126,5.563451492,4.681802935,54.54954537,39.33210712,5.098681808,1.0,1.961538462,2.846153846,0.1,-3.54,26,324.262,2299437.636,14.77370788,5.769349045,2.51901974,149.3099317,4.765728616,4.765728616,0.759418619,0.759418619,3.2688,99.738,340.39,0,6,0,0,0,0,1,4,5,0,0,6,0,6,4,3,0,0,0,126,0.0,0.0,5.647177221,0.0,0.0,0.0,9.665781456,9.499376415,10.19736362,0.0,12.13273414,35.89528683,36.81185645,29.29824385,3.278256825,5,0.0,16.55010215,0.0,29.36252149,7.047671983,6.420821623,0.0,78.50932325,11.25737949,11.42307692,0.0,0.0,0.0,0.0,29.36252149,13.46849361,0.0,11.25737949,67.25194377,0.0,27.80748164,60.9,3.689405032,0.0,8.863073691,10.13294804,5.981231183,0.0,14.3510806,8.246888014,0.0,1.902040099,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.50565575
BMS-690514 (BRD:BRD-K76239644-001-01-8),-0.1987110446711114,0,3.087319114,1.610576724,927.4588045,18.80275414,15.24624608,15.24624608,13.13536159,9.021157199,9.021157199,6.854747433,6.854747433,4.98193651,4.98193651,3.474691102,3.474691102,6.103966388,5.106527395,6.041840829,13.08951281,41.30049112,6.327320075,7.109797541,41.04407681,20.29935866,10.47053043,1.37037037,2.259259259,3.074074074,0.368421053,-2.68,27,344.249,2251390.416,17.71981865,7.514323851,3.728401425,157.1205364,10.06805497,10.06805497,0.138283908,-0.487723613,1.3754,103.1399,368.441,4,8,0,1,1,0,1,2,3,2,0,8,3,8,3,5,0,1,1,142,20.89384643,17.59353263,5.817862778,0.0,0.0,0.0,4.899909731,9.499376415,5.098681808,0.0,6.066367068,30.18337432,43.62670696,13.21376393,4.93157244,4,9.843390349,17.02194977,0.0,19.49796795,5.733667477,25.11138525,25.51609896,48.41945048,5.749511833,20.7037037,15.78731903,11.50524905,5.749511833,0.0,56.94961292,6.544756406,0.0,11.98427311,42.85599899,0.0,5.516700718,100.94,7.105855243,0.0,6.652841632,17.74035913,8.828945351,1.506331577,9.615870554,3.758838905,2.146022735,1.644934868,1,1,0,3,0,0,0,0,0,4,1,1,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.625263254
PKI-166 (BRD:BRD-K10115470-001-01-8),-0.1963173369096663,0,3.081501535,1.69005537,993.3278002,17.22540387,13.76984402,13.76984402,12.20350994,8.151319788,8.151319788,5.991153406,5.991153406,4.256761266,4.256761266,2.881519042,2.881519042,0.0,5.106527395,11.79135266,0.0,28.1086437,5.563451492,18.46005421,36.39820241,39.3251955,0.0,1.0,1.76,2.52,0.1,-3.34,25,312.247,979276.5357,15.20312766,6.279638834,3.038151222,144.9496926,9.452308042,9.452308042,0.130854066,0.130854066,4.5036,99.4692,330.391,3,5,0,0,0,0,2,2,4,1,0,4,3,5,2,4,0,0,0,124,15.40729452,23.54187191,0.0,0.0,0.0,0.0,0.0,9.967957042,0.0,0.0,30.33183534,48.38247553,11.73576882,5.386224214,3.818806033,4,5.106527395,16.85126421,0.0,14.95193556,0.0,12.96557803,5.316788604,72.55444225,17.00689132,12.2,5.316788604,5.817862778,5.749511833,0.0,20.05846296,0.0,0.0,18.52902952,66.99099076,0.0,22.29078092,73.83,0.0,0.0,12.0528205,13.85456087,3.896448799,1.042894237,19.49028451,1.555041152,2.107949927,0.0,0,0,0,3,1,1,0,0,0,2,2,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.514782458
NS-018 (BRD:BRD-K21865955-003-01-5),-0.1812958703902495,0,3.153755083,1.657028115,1093.734927,20.2169677,16.04223568,16.04223568,14.06368328,9.128137693,9.128137693,6.662210369,6.662210369,4.417263985,4.417263985,2.956980278,2.956980278,0.0,4.390415048,11.85906167,17.45358833,16.69035448,12.13273414,41.60191136,32.30098689,30.68419458,0.0,0.965517241,1.75862069,2.448275862,0.142857143,-3.81,29,369.278,5778082.993,18.54854092,8.053809507,4.545484841,167.2289493,13.21958314,13.21958314,0.058689531,-0.256382605,4.3279,110.1914,389.438,2,7,0,0,0,0,1,3,4,1,0,7,2,8,3,6,0,0,0,146,10.63357721,23.27080917,0.0,0.0,0.0,0.0,9.665781456,14.35837209,5.098681808,0.0,12.13273414,42.31610846,37.24349502,12.39368714,5.151255697,4,4.390415048,17.45358833,0.0,24.73242031,7.047671983,12.96557803,10.63357721,78.7630926,11.12690298,11.82758621,10.63357721,21.84400338,0.0,0.0,24.73242031,7.047671983,5.817220841,18.52902952,67.38242027,0.0,11.12690298,80.55,14.96936211,0.0,12.96371486,10.81486742,2.880827408,1.642781543,10.25461996,8.598215119,2.001425894,1.874185689,0,0,0,5,0,0,0,0,0,5,2,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.510955544
AZD3759 (BRD:BRD-K41626799-001-01-1),-0.1798160595207574,0,2.763719091,1.676120432,1161.85961,22.82769817,17.93230043,18.68822937,15.3674124,10.07833933,10.45630381,7.641499115,8.048699241,5.387760919,5.679668766,3.694490081,3.869029409,11.91046091,9.184952232,22.50137225,29.01505595,13.08951281,19.50348468,29.165378,13.97140918,20.18465538,21.0746658,1.25,2.0625,2.8125,0.318181818,-3.17,32,436.725,15819923.29,22.03929905,9.134951294,4.393592722,189.4501073,14.39133378,14.39133378,0.008383126,-0.592457476,4.3092,120.4717,459.909,1,8,0,1,1,1,2,1,3,1,0,7,1,10,2,4,0,1,1,168,24.59033397,12.14518285,17.31624451,0.0,0.0,6.093240071,0.0,19.15290927,0.0,0.0,17.66730696,32.17051039,37.12870133,23.33651785,6.291497605,4,18.65867814,40.10235395,0.0,19.7677765,0.0,12.96557803,39.10852735,47.49900957,11.49902367,16.78125,14.79051451,20.69020128,11.49902367,11.60093989,65.69459615,0.0,5.817220841,6.9237372,36.65915542,5.022633314,10.90292493,79.82,25.5103165,5.885538191,25.19855138,3.462697618,0.701550665,0.320361797,7.90688812,0.888837111,4.068222499,3.501480558,0,0,0,2,0,0,1,1,0,4,1,0,0,0,0,0,1,2,0,2,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.622301025
CAPMATINIB (BRD:BRD-K81016934-001-02-0),-0.1716174551434951,0,3.200219704,1.505757472,1445.028404,21.37166824,16.58024048,16.58024048,15.11852484,9.675210433,9.675210433,7.08576084,7.08576084,5.089771881,5.089771881,3.509687886,3.509687886,11.72440057,9.184952232,5.563451492,23.45585483,22.16030442,19.18040612,29.17229568,24.26546827,31.43377304,0.0,1.064516129,1.935483871,2.774193548,0.086956522,-4.2,31,395.292,21157926.15,18.80497554,7.564707004,3.48035551,176.164208,14.38830423,14.38830423,0.019073109,-0.616319749,3.429,114.1152,412.428,1,7,0,0,0,1,2,3,5,0,0,6,1,8,3,4,0,0,0,152,5.316788604,11.51114884,0.0,0.0,11.68483345,0.0,9.778515705,18.87376998,5.098681808,0.0,18.19910121,35.89528683,30.61501288,29.16776735,4.58884291,5,9.184952232,22.58775839,0.0,29.88280387,0.0,6.420821623,7.047671983,89.75951908,11.25737949,11.16129032,5.316788604,4.390415048,0.0,0.0,37.52086698,6.420821623,5.817220841,21.61536816,67.12146726,0.0,27.93795814,85.07,16.04836501,0.0,24.7538809,8.094601565,3.876316332,-0.63324027,14.40826461,5.658442945,0.0,1.460035576,0,0,0,5,0,0,1,1,0,5,1,0,0,0,0,0,1,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.488891302
IOVERSOL (BRD:BRD-A65818372-001-05-3),-0.1695864939064289,0,2.789866889,3.709166538,819.2927007,25.29216426,17.09358147,23.56607634,15.54654894,9.417722684,12.65397012,6.56049605,9.796743486,4.195722584,7.375026733,2.560000075,7.288322933,56.35699982,34.80972113,47.15910529,0.0,4.899909731,0.0,22.59087063,45.18174125,10.63357721,10.21305479,0.787878788,1.212121212,1.545454545,0.5,-0.42,33,782.922,8370571.541,30.61069368,14.85959454,8.052110577,229.7057497,12.95446901,12.95446901,0.001581436,-1.210941079,-2.016,141.9692,807.114,8,12,0,0,0,3,1,0,1,2,0,9,8,15,0,12,0,0,0,186,46.17265131,6.606881965,0.0,0.0,17.72153919,0.0,14.38361155,0.0,0.0,0.0,0.0,67.77261188,23.20445149,55.98323247,13.78371202,1,45.02277592,91.18153734,0.0,10.63357721,0.0,12.20793278,50.96170681,21.8374498,0.0,12.75757576,15.53348694,5.687386275,0.0,67.77261188,106.6304334,4.794537184,10.71054681,20.71597735,0.0,0.0,0.0,199.89,0.70526371,5.410535514,39.35813733,60.8010729,0.112975388,-2.164083694,0.0,-2.421882158,-3.275352326,0.0,6,6,0,0,0,0,3,3,0,1,2,0,0,0,0,0,3,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110049066
