Drug,Pearson_Correlation,Label,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,Phi,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SPS,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_Ndealkylation1,fr_Nhpyrrole,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_halogen,fr_ketone,fr_ketone_Topliss,fr_methoxy,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_piperdine,fr_priamide,fr_pyridine,fr_sulfide,fr_thiophene,fr_unbrch_alkane,qed
CHLORIDINE (BRD:BRD-K88429204-001-35-1),-0.2564740245625759,0,2.295831446,2.613511657,536.9470467,12.41384908,9.44360006,10.19952901,8.113392203,5.292787074,5.670751547,3.649186491,4.085622272,2.497017951,2.748994267,1.733205455,1.859193613,0.0,0.0,0.0,5.948339281,10.84049609,23.2416526,0.0,0.0,31.18920547,9.967957042,23.06827484,1.117647059,1.764705882,2.352941176,0.166666667,-1.81,17,235.613,7328.293977,11.66887177,4.590610961,2.313468447,104.6407251,5.903753307,5.903753307,0.205614379,0.205614379,2.5238,70.6808,248.717,4,4,0,0,0,0,1,1,2,0,0,4,2,5,1,2,0,0,0,88,11.46733495,5.817862778,0.0,5.948339281,0.0,0.0,0.0,4.983978521,4.983978521,0.0,30.65741123,24.11700725,10.58608481,5.693927995,3.151014743,2,0.0,23.36714195,0.0,9.967957042,0.0,13.34455882,11.46733495,34.98202958,11.12690298,10.47058824,11.46733495,11.76620206,0.0,11.60093989,9.967957042,6.420821623,0.0,12.61766519,24.26546827,5.022633314,11.12690298,77.82,0.0,5.855308651,8.197384732,0.682160441,14.11098802,0.605311092,7.414411061,0.744920399,2.000626715,0.0,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.856137149
BNC105 (BRD:BRD-K20468903-001-01-6),-0.244551317717281,0,3.027585672,2.194978573,991.8275132,19.71481399,15.70610442,15.70610442,12.95945742,8.100853117,8.100853117,5.769501819,5.769501819,4.344915851,4.344915851,3.05047694,3.05047694,0.0,9.901064579,0.0,22.86528875,39.52191012,0.0,28.43919017,31.18920547,0.0,0.0,23.36460275,0.925925926,1.518518519,2.037037037,0.25,-3.35,27,352.213,1353739.519,18.4413546,7.106978657,2.906094249,155.5640806,13.21911761,13.21911761,0.150887012,-0.296231576,3.71222,98.6983,372.373,1,7,0,0,0,0,2,1,3,0,0,7,1,7,1,6,0,0,0,142,28.47113015,5.760247419,28.61480059,11.49902367,0.0,0.0,4.794537184,0.0,0.0,0.0,0.0,31.18920547,10.94967571,34.00264166,4.854159762,3,33.26566733,16.7524893,0.0,0.0,0.0,6.9237372,28.43919017,41.15261868,28.74755917,10.7037037,18.94745182,0.0,28.74755917,0.0,39.32896251,0.0,6.9237372,21.68168759,28.68261921,0.0,10.96924436,87.36,26.65228178,0.0,13.21911761,10.77601452,0.880069943,1.338422235,6.407622407,0.0,1.663826531,5.895978299,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,0,1,0,4,0,1,1,0,0,0,0,0,0,0.660011353
VERUBULIN (BRD:BRD-K42673188-001-01-1),-0.2225649839460802,0,2.531466407,2.094575926,768.5921612,14.81962648,12.36869123,12.36869123,10.18587185,6.799944292,6.799944292,4.868618539,4.868618539,3.472339603,3.472339603,2.356816821,2.356816821,0.0,0.0,0.0,0.0,0.0,33.98209032,0.0,7.109797541,62.50234573,14.86786677,4.736862954,0.952380952,1.666666667,2.380952381,0.176470588,-2.62,21,262.207,82819.45498,13.36708445,5.402241366,2.521330711,123.5776631,5.199834913,5.199834913,0.767649702,0.767649702,3.71472,85.332,279.343,0,4,0,0,0,0,2,1,3,0,0,4,0,4,1,3,0,0,0,106,9.636772685,17.39177911,0.0,0.0,0.0,0.0,0.0,9.967957042,0.0,0.0,12.13273414,43.32193961,18.12128247,12.62649826,3.43867698,3,4.736862954,22.40817398,0.0,9.967957042,0.0,6.9237372,19.05737925,54.35534105,5.749511833,10.61904762,9.636772685,11.50524905,5.749511833,0.0,24.12542657,0.0,6.9237372,5.824404498,48.53093655,0.0,10.90292493,38.25,5.199834913,0.0,11.15168391,1.042979681,2.013346981,2.516856156,15.98419307,0.0,1.914485597,3.676619691,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,2,1,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.732183618
VELBAN (BRD:BRD-K06519765-001-01-1),-0.215125280803654,0,3.89524345,1.363761883,2257.091393,41.86286759,35.30018383,35.30018383,28.22071452,21.21307729,21.21307729,18.20394764,18.20394764,15.59875553,15.59875553,13.50609086,13.50609086,57.50079611,19.80212916,4.794537184,11.95974688,82.56167509,33.41114219,21.14333228,7.109797541,50.06052439,39.06857233,18.94745182,0.949152542,1.711864407,2.406779661,0.586956522,-4.43,59,752.525,16500000000000.0,40.00045548,13.80160672,5.196998741,345.1395957,15.32199407,15.32199407,0.098622696,-2.301098413,3.9909,220.4283,810.989,3,13,1,5,6,0,2,1,3,10,2,12,3,13,6,7,1,2,3,316,39.04439486,11.1645023,6.103966388,5.601050811,0.0,17.90791586,19.38889383,4.794537184,0.0,0.0,44.19861582,74.24722931,90.93631434,32.97228426,9.357128053,9,43.54411816,34.49822707,0.0,14.78379798,11.33289652,99.51587194,66.00075637,70.93452509,5.749511833,36.96610169,9.636772685,5.687386275,5.749511833,0.0,133.3953649,45.84500298,11.33289652,75.25960218,48.55024262,0.0,10.90292493,154.1,23.93651777,0.0,53.16144392,26.3309124,-1.624673022,-1.562821362,10.95278424,5.944736805,8.624607439,6.153158472,2,0,0,1,1,0,3,3,3,1,0,1,1,0,0,0,1,0,2,6,3,4,0,0,0,3,1,0,0,1,0,0,0,0,0,0.179801054
VINDESINE (BRD:BRD-K59753975-001-02-6),-0.1953564906996496,0,3.84476646,1.363607029,2119.003613,38.87130376,32.60000283,32.60000283,26.28886287,20.00362833,20.00362833,17.48968066,17.48968066,15.23535802,15.23535802,13.05192556,13.05192556,51.46936526,20.11411937,4.794537184,11.95974688,69.47216228,46.500655,7.109797541,7.109797541,62.2125646,26.91653212,15.20739338,1.036363636,1.818181818,2.527272727,0.581395349,-3.94,55,698.501,2640000000000.0,36.6839097,12.27861227,4.513284941,321.7902813,15.19585562,15.19585562,0.078996295,-2.301515079,2.7324,208.0595,753.941,6,12,1,5,6,1,2,1,3,10,2,10,5,12,6,6,1,2,3,294,40.41086382,17.26846869,5.601050811,0.0,5.907179729,5.969305288,19.38889383,0.0,0.0,0.0,44.19861582,74.24722931,84.01257714,25.86248672,8.189590981,9,34.38238246,28.46679622,0.0,14.78379798,17.06656399,92.59213474,58.89095883,70.93452509,5.749511833,38.98181818,15.37044016,5.687386275,5.749511833,0.0,125.3606639,31.57673988,11.33289652,68.33586498,48.55024262,0.0,10.90292493,164.82,12.22089171,0.0,39.26277888,37.96474755,4.724717348,-1.001118291,11.01555454,5.779156638,7.39205018,4.891221435,3,1,0,1,1,0,2,2,3,1,1,1,1,0,0,1,1,0,2,6,1,2,0,0,0,2,1,0,0,1,1,0,0,0,0,0.186922929
BIS(MALTOLATO)OXOVANADIUM(IV) (BRD:BRD-K16180792-001-01-7),-0.1857710218192289,0,2.386044962,2.222965176,695.3865343,14.69830613,10.61435271,12.011048,9.486071003,5.487888886,7.198484286,3.746504371,5.015050486,2.347217387,3.382980952,1.387399557,2.593644195,26.66348614,13.26320019,0.0,23.0195185,0.0,12.13273414,26.37380039,0.0,0.0,0.0,16.15821865,0.9,1.3,1.65,0.166666667,-2.115584416,20,307.069,28346.21415,14.29682894,5.894233206,3.065030613,117.7932746,11.81435941,11.81435941,0.174206533,-3.609814815,1.46134,61.3725,317.149,0,7,0,0,0,0,0,2,2,0,0,7,0,8,2,4,0,0,0,105,0.0,0.0,0.0,0.0,0.0,117.610958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.213442193,2,35.63824983,0.0,0.0,0.0,0.0,13.8474744,0.0,56.62621012,11.49902367,10.1,18.18149756,0.0,11.49902367,0.0,0.0,19.48003118,13.8474744,11.52049484,43.08243637,0.0,0.0,95.95,31.67904038,-3.609814815,23.05092782,0.0,-0.964086934,-0.039601862,2.2632968,2.395830709,2.974407911,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.841917345
FLIBANSERIN (BRD:BRD-K33637378-001-01-7),-0.1846912223935014,0,3.011319516,1.370501761,1015.952973,19.72540387,15.24522534,15.24522534,13.4148348,9.237975318,9.237975318,6.975715948,6.975715948,5.232353376,5.232353376,3.678826484,3.678826484,11.73975001,17.96578233,0.0,5.689743398,25.32165549,36.73403772,12.13273414,10.63346672,29.165378,9.883888252,0.0,0.928571429,1.678571429,2.428571429,0.35,-2.74,28,369.241,2884193.652,18.61532506,7.349388947,3.774316096,159.535501,12.9185712,12.9185712,0.121479987,-4.32894339,3.1706,102.6557,390.409,1,5,0,1,1,0,2,1,3,0,0,4,1,8,2,4,0,1,1,148,9.883888252,0.0,0.0,0.0,0.0,11.86604192,9.467009379,4.794537184,13.17124514,0.0,18.19910121,30.33183534,44.95592471,16.59685293,4.88611658,4,13.17124514,16.72078771,0.0,14.4509879,0.0,12.72105492,37.62369176,64.57866862,0.0,16.03571429,10.58965313,18.85863142,0.0,0.0,47.17476993,12.72105492,0.0,5.563451492,53.32547373,0.0,11.03340144,44.27,40.48637954,0.0,19.20987754,0.0,1.564104375,0.0,13.05520785,-4.32894339,4.096707414,0.0,0,0,0,2,1,0,0,0,3,1,0,0,1,3,0,0,1,0,2,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0.744372905
EFINACONAZOLE (BRD:BRD-A30774155-001-01-2),-0.1835824058997076,0,3.070884252,1.969820728,739.5392693,18.02673326,14.19873923,14.19873923,11.8977026,8.309521855,8.309521855,6.60342643,6.60342643,5.011163441,5.011163441,3.373828666,3.373828666,23.27733332,13.88735749,0.0,12.1082079,0.0,38.06389019,28.97591468,0.0,6.9237372,21.56150574,0.0,1.32,2.04,2.64,0.444444444,-2.12,25,326.221,530833.0517,17.69497296,7.013365644,3.619242502,145.1545039,14.48606392,14.48606392,0.02198956,-1.579209656,2.4846,89.6858,348.397,1,5,0,1,1,0,1,1,2,2,0,5,1,7,2,5,0,1,1,134,5.106527395,29.89013264,0.0,0.0,0.0,0.0,4.899909731,18.44661155,5.098681808,0.0,18.21840728,25.83174751,30.7611722,6.544756406,4.964052618,3,13.88735749,0.0,0.0,19.664373,0.0,37.95302849,13.08951281,60.20367474,0.0,19.6,0.0,8.780830095,0.0,0.0,43.90225403,12.14580722,11.63444168,25.32883194,43.00578157,0.0,0.0,54.18,29.28902139,0.0,5.985688985,15.52760619,-0.345386708,-1.442439772,2.868372019,4.513340843,7.353797058,0.0,1,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0.843771372
RESIBUFOGENIN (BRD:BRD-K25970317-001-01-6),-0.1827848209578058,0,3.334175898,1.355031839,841.9111635,19.31119031,17.02496514,17.02496514,13.38263083,11.32981183,11.32981183,10.95337994,10.95337994,10.18512717,10.18512717,8.737978854,8.737978854,0.0,9.901064579,0.0,22.74559399,29.272675,25.18037091,37.66755961,12.32953006,6.066367068,13.8474744,9.154013891,1.035714286,1.892857143,2.678571429,0.791666667,-1.13,28,352.26,5201527.787,17.70501899,5.513838585,2.014500304,166.2102654,11.44198339,11.44198339,0.028534344,-0.266237001,4.2583,104.9498,384.516,1,4,4,1,5,0,0,1,1,9,0,4,1,4,2,1,4,1,5,152,14.26054129,5.601050811,0.0,0.0,0.0,5.625586319,0.0,4.794537184,0.0,0.0,13.8474744,92.0830062,11.48135754,18.47109577,3.48652203,6,14.26054129,0.0,0.0,0.0,28.58369908,88.94093702,0.0,34.37947213,0.0,54.25,5.625586319,0.0,0.0,0.0,22.91551098,4.736862954,28.58369908,76.69540492,27.60758525,0.0,0.0,62.97,11.82293198,0.0,11.44198339,10.23321033,1.441994777,2.475977726,3.550009002,11.14462001,4.972606116,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735108768
BENZOYLSTAUROSPORINE (BRD:BRD-K13646352-001-03-8),-0.1782599984640124,0,3.678106783,1.425201138,2180.823323,29.19757718,24.12645182,24.12645182,20.9357074,14.75827338,14.75827338,12.09173593,12.09173593,10.03557929,10.03557929,8.327087426,8.327087426,18.05685315,9.589074368,0.0,17.85620029,18.52902952,54.73860271,0.0,7.109797541,66.54488533,45.64019337,9.473725908,0.953488372,1.627906977,2.372093023,0.257142857,-4.66,43,540.409,16727238356.0,24.8936556,8.461353673,2.968438278,246.9101196,13.88290498,13.88290498,0.044612149,-0.979914021,5.9068,165.1237,570.649,1,8,0,3,3,2,4,2,6,4,2,6,1,8,5,3,0,1,1,214,28.82462354,12.33186756,5.724985594,0.0,11.81435946,0.0,9.589074368,0.0,0.0,0.0,54.59730362,36.75265697,54.2313959,33.67209519,4.89846568,9,19.06280028,55.42605919,0.0,19.35089763,0.0,43.98800921,14.15746952,95.55312637,0.0,24.1627907,5.316788604,0.0,0.0,0.0,52.15174523,21.74346791,0.0,45.85188884,78.86277189,0.0,43.61169973,77.73,18.14656838,0.0,29.24936955,7.239329487,5.456171775,-0.106574279,25.68552175,-0.385781132,2.559425157,3.572635986,0,0,0,2,0,0,2,2,3,1,0,1,0,0,0,2,0,0,4,13,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0.287218392
