Drug,Pearson_Correlation,Label,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,Phi,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SPS,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_halogen,fr_imidazole,fr_methoxy,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_pyridine,fr_sulfonamd,fr_thiazole,fr_unbrch_alkane,qed
PARICALCITOL (BRD:BRD-K60585088-001-01-5),-0.1949839947316744,0,2.997941128,1.725353752,670.7119726,22.10408353,19.77199773,19.77199773,14.00287431,12.1571259,12.1571259,11.30025073,11.30025073,8.563168456,8.563168456,6.385109562,6.385109562,17.80898359,15.31958218,0.0,5.917906046,42.43117348,0.0,37.67721264,5.57310453,13.8474744,45.07529203,0.0,1.033333333,1.7,2.333333333,0.777777778,-0.9,30,372.294,3393216.667,23.75663093,9.302573014,5.285369373,183.5241447,10.24102408,10.24102408,0.152396692,-0.673756427,5.5606,123.9684,416.646,3,3,3,0,3,0,0,0,0,7,0,3,3,3,0,5,3,0,3,0,170,15.31958218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.22150109,88.38275599,5.917906046,17.80898359,7.366593126,3,15.31958218,0.0,0.0,0.0,29.08661465,103.7942426,0.0,35.45028949,0.0,38.66666667,0.0,0.0,0.0,0.0,33.12856577,0.0,29.08661465,85.98525898,35.45028949,0.0,0.0,60.69,0.0,0.0,0.0,30.18122842,2.434984829,2.002091324,0.0,16.48515528,10.72987348,0.0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.514196907
CHLOROPROCAINE (BRD:BRD-K86864073-001-01-1),-0.1805653954836144,0,2.340547164,2.501847098,405.9777594,13.5436056,10.77950285,11.5354318,8.57891736,6.025511528,6.403476001,3.90208558,4.309285707,2.748153835,3.060862844,1.581928034,1.848061946,5.969305288,4.794537184,0.0,0.0,22.88035304,19.63426922,0.0,18.19910121,0.0,18.74738413,22.07147032,1.388888889,2.055555556,2.611111111,0.461538462,-1.26,18,251.608,9090.685183,14.79973716,7.235701055,4.200044229,112.6640558,11.76895503,11.76895503,0.322073308,-0.410040627,2.4208,73.9349,270.76,2,4,0,0,0,0,1,0,1,0,0,4,1,5,0,6,0,0,0,0,100,15.37044016,6.606881965,0.0,0.0,0.0,5.969305288,0.0,4.794537184,0.0,0.0,25.44841429,31.28861402,12.23214268,10.58608481,5.949248542,1,9.531400138,23.25763145,0.0,4.899909731,0.0,13.8474744,31.97481866,28.78518601,0.0,10.66666667,5.733667477,5.687386275,0.0,11.60093989,37.1103662,4.736862954,0.0,24.20546308,18.19910121,5.022633314,0.0,55.56,5.177064437,5.929171898,13.94739612,0.322073308,6.440047786,-0.410040627,4.756758472,0.0,7.115306382,0.0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.637123026
ALFACALCIDOL (BRD:BRD-K49522529-001-03-7),-0.171999722516289,0,3.002887907,1.713301524,642.9232376,21.1814338,19.29140394,19.29140394,13.7190698,12.16911766,12.16911766,10.96600839,10.96600839,8.42992446,8.42992446,6.728496742,6.728496742,12.20793278,10.21305479,0.0,0.0,24.17453976,28.8999272,51.36657298,5.57310453,0.0,46.4259247,0.0,1.137931034,1.896551724,2.620689655,0.777777778,-0.86,29,356.295,2643370.155,22.81693388,9.518233446,5.074465862,178.7299109,10.12651597,10.12651597,0.420454831,-0.59484135,6.5898,122.5786,400.647,2,2,3,0,3,0,0,0,0,6,0,2,2,2,0,6,3,0,3,0,164,10.21305479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.26149409,78.75775345,6.420821623,12.20793278,7.488858729,3,10.21305479,0.0,0.0,0.0,29.08661465,104.1110978,0.0,35.45028949,0.0,39.34482759,0.0,0.0,0.0,0.0,22.42098757,0.0,29.08661465,91.90316503,35.45028949,0.0,0.0,40.46,0.0,0.0,0.0,20.16071712,3.883812913,3.198583755,0.0,15.18314668,13.82373953,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.527790506
TACALCITOL (BRD:BRD-K73237276-001-01-0),-0.1672619275310722,0,3.044522773,1.715811286,675.5956632,22.05167728,19.60886102,19.60886102,14.12975341,12.26064988,12.26064988,11.02997273,11.02997273,8.676305596,8.676305596,6.647407735,6.647407735,12.20793278,15.31958218,0.0,6.103966388,36.01035185,36.32657998,25.68328649,5.57310453,0.0,46.4259247,0.0,1.133333333,1.866666667,2.566666667,0.777777778,-0.9,30,372.294,4077876.426,23.75663093,9.710532606,4.945018094,183.5241447,10.25105713,10.25105713,0.180381908,-0.617664681,5.5606,123.9684,416.646,3,3,3,0,3,0,0,0,0,7,0,3,3,3,0,6,3,0,3,0,170,15.31958218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.99902923,91.5993967,6.420821623,18.31189916,7.689651308,3,15.31958218,0.0,0.0,0.0,29.08661465,103.7942426,0.0,35.45028949,0.0,39.53333333,0.0,0.0,0.0,0.0,33.63148135,0.0,29.08661465,85.48234341,35.45028949,0.0,0.0,60.69,0.0,0.0,0.0,30.41347493,3.687411191,2.353003635,0.0,12.44653003,13.18291356,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.531050411
ABX464 (BRD:BRD-K00003394-001-01-9),-0.1558968208033107,0,2.486711784,1.803102969,834.8432265,16.44938299,11.5634722,12.31940115,10.9047981,6.587458575,6.965423048,4.705227003,5.11242713,3.031313104,3.336307806,2.068337673,2.292443627,6.362358859,13.17124514,0.0,5.749511833,22.04458308,5.386224214,24.26546827,12.13273414,18.19910121,15.03763008,11.60093989,0.956521739,1.695652174,2.391304348,0.0625,-2.47,23,328.636,148158.2881,15.42662962,5.964663876,3.84071823,134.2180318,12.11456584,12.11456584,0.280032315,-4.702782271,5.5304,83.1607,338.716,1,3,0,0,0,0,2,1,3,0,0,3,1,7,1,3,0,0,0,0,118,10.05365156,11.56737461,0.0,0.0,0.0,6.362358859,0.0,4.983978521,0.0,13.17124514,23.73367403,42.46456948,11.07361049,10.53933403,4.000637408,3,17.9081081,34.00911387,0.0,4.983978521,0.0,6.362358859,5.316788604,59.61993693,5.749511833,11.47826087,10.05365156,24.6764942,5.749511833,11.60093989,11.34633738,0.0,0.0,0.0,54.59730362,5.022633314,10.90292493,34.15,40.16311876,6.100938747,4.397577397,4.434584127,1.231129286,0.257087827,14.47945724,-4.702782271,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,2,0,2,1,0,1,4,0,0,1,0,0,1,0,0,0,0.681401154
NVP-TAE226 (BRD:BRD-K21025364-001-04-9),-0.1554380540315264,0,2.863347975,1.567109296,1136.929636,23.20853153,18.39157941,19.14750836,16.08405,10.47196997,10.84993445,7.248868544,7.656068671,5.203743858,5.480340409,3.489235188,3.627533464,0.0,4.794537184,0.0,5.907179729,52.69033518,18.77689909,6.196843572,32.35657073,24.26546827,30.81823258,21.0746658,1.121212121,1.909090909,2.666666667,0.260869565,-3.56,33,443.745,36603711.92,22.62743358,10.37101257,5.266839447,196.6349501,12.17641332,12.17641332,0.215998942,-0.215998942,3.822,129.4656,468.945,3,9,0,1,1,1,2,1,3,0,0,8,3,10,2,7,0,1,1,0,172,30.32400145,10.77214515,5.817862778,5.948339281,5.907179729,0.0,4.794537184,4.983978521,4.983978521,0.0,23.73367403,24.26546827,31.89093814,43.45862908,7.111193882,4,14.26826309,46.3364805,0.0,15.28474565,0.0,0.0,55.9942332,59.24749786,5.749511833,13.36363636,25.5871385,28.82836088,5.749511833,11.60093989,56.33588304,4.736862954,0.0,10.35798868,48.66141305,5.022633314,0.0,100.64,11.02099851,6.323993385,23.20553127,9.263280607,2.833179806,1.148059993,13.03142603,1.496333797,3.088363832,3.19994388,0,0,0,2,0,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,1,5,0,2,0,0,2,1,0,1,1,0,0,0,0,0,0,0.48082264
FTORAFUR (BRD:BRD-K99383816-001-03-5),-0.1535859135765512,0,2.636033455,2.471699398,444.6349933,10.12939203,7.325943822,7.325943822,6.68154055,4.308535924,4.308535924,3.111253318,3.111253318,2.140227451,2.140227451,1.454703239,1.454703239,23.29413231,13.97948942,0.0,0.0,13.02770359,17.18476484,0.0,0.0,4.983978521,0.0,4.736862954,1.571428571,2.357142857,3.0,0.5,-1.43,14,191.097,2343.433741,9.137813716,3.375216864,1.480598847,78.1367327,12.85359316,12.85359316,0.450138889,-0.996067649,-0.0153,45.5037,200.169,1,5,0,1,1,0,0,1,1,1,0,4,1,6,2,1,0,1,1,0,76,4.736862954,6.227901171,0.0,5.817220841,5.559266895,5.689743398,14.34561535,4.794537184,4.390415048,0.0,0.0,12.84164325,6.606881965,6.196843572,2.203007354,2,9.127278001,0.0,0.0,9.551078169,0.0,19.06954442,6.606881965,32.85214907,0.0,21.35714286,11.24901029,4.390415048,0.0,0.0,16.15796013,4.736862954,5.817220841,19.06954442,15.78591794,0.0,0.0,64.09,19.11568311,0.0,23.84300217,0.0,-1.631900983,-0.97212963,0.0,1.925253921,0.553424745,0.0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.69271253
NVP-TAE226 (BRD:BRD-K21025364-001-05-6),-0.1535087206625297,0,2.863347975,1.567109296,1136.929636,23.20853153,18.39157941,19.14750836,16.08405,10.47196997,10.84993445,7.248868544,7.656068671,5.203743858,5.480340409,3.489235188,3.627533464,0.0,4.794537184,0.0,5.907179729,52.69033518,18.77689909,6.196843572,32.35657073,24.26546827,30.81823258,21.0746658,1.121212121,1.909090909,2.666666667,0.260869565,-3.56,33,443.745,36603711.92,22.62743358,10.37101257,5.266839447,196.6349501,12.17641332,12.17641332,0.215998942,-0.215998942,3.822,129.4656,468.945,3,9,0,1,1,1,2,1,3,0,0,8,3,10,2,7,0,1,1,0,172,30.32400145,10.77214515,5.817862778,5.948339281,5.907179729,0.0,4.794537184,4.983978521,4.983978521,0.0,23.73367403,24.26546827,31.89093814,43.45862908,7.111193882,4,14.26826309,46.3364805,0.0,15.28474565,0.0,0.0,55.9942332,59.24749786,5.749511833,13.36363636,25.5871385,28.82836088,5.749511833,11.60093989,56.33588304,4.736862954,0.0,10.35798868,48.66141305,5.022633314,0.0,100.64,11.02099851,6.323993385,23.20553127,9.263280607,2.833179806,1.148059993,13.03142603,1.496333797,3.088363832,3.19994388,0,0,0,2,0,0,0,0,1,1,0,3,3,0,0,0,0,0,0,0,1,5,0,2,0,0,2,1,0,1,1,0,0,0,0,0,0,0.48082264
FALECALCITRIOL (BRD:BRD-K08251020-001-01-0),-0.1512947225390539,0,3.105985442,1.691357555,859.7152159,27.10408353,20.9290541,20.9290541,16.50967437,12.81722244,12.81722244,11.38927862,11.38927862,9.124941634,9.124941634,7.004480672,7.004480672,36.58240224,41.66207247,0.0,42.43117348,11.99392615,37.67721264,5.57310453,0.0,12.99975731,19.57869299,0.0,1.083333333,1.722222222,2.333333333,0.777777778,-1.32,36,486.282,37722615.61,29.23914039,10.44614304,5.57812427,208.5173571,13.0110644,13.0110644,0.077001468,-5.771605091,6.7895,124.8004,524.586,3,3,3,0,3,0,0,0,0,6,0,3,3,9,0,6,3,0,3,0,206,15.31958218,0.0,0.0,0.0,5.601050811,12.35259703,0.0,0.0,26.34249029,0.0,44.57237645,85.68149065,6.420821623,12.20793278,8.484340076,3,41.66207247,0.0,0.0,0.0,23.16870861,108.2172713,0.0,35.45028949,0.0,35.36111111,0.0,26.34249029,0.0,0.0,45.48116281,0.0,23.16870861,78.05569063,35.45028949,0.0,0.0,60.69,78.06638642,0.0,0.0,29.54303685,-2.079736448,0.354984876,0.0,-5.244392208,8.026387181,0.0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0.335501672
ASP-7487 (BRD:BRD-K86118762-001-01-8),-0.1510144524930465,0,3.178354312,1.501420007,1464.41932,21.87166824,17.73318531,17.73318531,15.48309636,10.7989402,10.7989402,8.921810947,8.921810947,6.382896471,6.382896471,4.794934067,4.794934067,5.601050811,5.106527395,0.0,5.917906046,18.65950602,44.75878912,0.0,6.196843572,41.78674365,41.38218093,15.70162452,1.0,1.78125,2.5625,0.192307692,-3.77,32,398.32,30635279.99,18.95594667,6.867587016,3.030217978,184.9573643,10.2514191,10.2514191,0.191032101,-0.629021151,4.8221,126.1712,421.504,3,6,1,0,1,0,2,3,5,0,0,6,2,6,3,3,1,0,1,0,158,10.84019487,22.85289599,0.0,0.0,0.0,0.0,4.400694606,14.95193556,0.0,0.0,48.53093655,31.89811458,34.82472039,16.81167952,4.068175414,6,5.106527395,22.23748843,0.0,19.35263017,0.0,31.2843373,5.733667477,78.88176233,22.51475897,20.5,5.733667477,5.817862778,0.0,0.0,30.06020837,0.0,0.0,31.50769099,73.05735783,0.0,38.93438462,89.33,2.023403303,0.0,14.21397015,11.31929529,11.13261019,1.552276034,20.49853856,4.972754949,1.870484854,0.0,1,0,1,4,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0.435837306
