Property,Category,Test Type,T-Statistic,P-Value,Effect Size,Group Mean,Comparison Mean
SlogP_VSA2,Top 10,Mann-Whitney U,50893.5,0.00013496048079494975,-15.947552447552447,74.82443731400001,40.19225120001584
SMR_VSA6,Top 10,Mann-Whitney U,48143.0,0.0008624640699383645,-15.03163503163503,44.908874171,16.24051674043496
Chi2n,Top 10,Mann-Whitney U,46965.5,0.001933581400854726,-14.63952713952714,9.5855328255,6.724261148373582
AUTOCORR2D_138,Top 10,Mann-Whitney U,46689.5,0.0022893504642039265,-14.547619047619047,0.2551,0.058610073382254844
Chi1n,Top 10,Mann-Whitney U,46616.5,0.0023930533557854285,-14.523310023310023,12.1036362479,8.726372604094061
Chi0n,Top 10,Mann-Whitney U,46464.5,0.002622800008722803,-14.472693972693973,20.6048614614,15.001955686850236
Kappa1,Top 10,Mann-Whitney U,45985.5,0.0034849468535663774,-14.313186813186814,25.290122614,18.818699351564042
Chi3n,Top 10,Mann-Whitney U,45868.5,0.0037314490784071887,-14.274225774225775,6.797197069000001,4.7367466767738495
NumValenceElectrons,Top 10,Mann-Whitney U,45768.0,0.003952775421288593,-14.24075924075924,185.4,140.37908605737158
AUTOCORR2D_139,Top 10,Mann-Whitney U,45766.0,0.003960228537550067,-14.24009324009324,0.127,-0.020419446297531688
Chi0v,Top 10,Mann-Whitney U,45604.5,0.004346870272267312,-14.186313686313687,20.686511119400002,15.524968806041027
Chi4n,Top 10,Mann-Whitney U,45480.5,0.0046665400797276215,-14.145021645021645,4.7960184507,3.3352093367179783
MolMR,Top 10,Mann-Whitney U,45434.5,0.004790443475590148,-14.129703629703629,133.00844,100.57356796197465
Chi1v,Top 10,Mann-Whitney U,45200.5,0.005468018144445375,-14.051781551781552,12.2688627699,9.244100717143763
Chi0,Top 10,Mann-Whitney U,45090.5,0.005815412758048671,-14.015151515151516,24.555858209,19.041154925096233
Chi2v,Top 10,Mann-Whitney U,45088.5,0.005821981926494574,-14.014485514485514,9.8133578802,7.3080060668443965
LabuteASA,Top 10,Mann-Whitney U,44999.5,0.006117844010891489,-13.984848484848484,202.500948546,156.57217464489162
AUTOCORR2D_16,Top 10,Mann-Whitney U,44971.5,0.006175733103453444,-13.975524475524475,3.4927,2.649826217478319
Kappa2,Top 10,Mann-Whitney U,44916.5,0.006405890813974002,-13.957209457209457,11.4832788715,7.976154727732655
AUTOCORR2D_32,Top 10,Mann-Whitney U,44863.0,0.006558199803545788,-13.93939393939394,3.3912999999999998,2.5593332221480987
HeavyAtomCount,Top 10,Mann-Whitney U,44841.0,0.006649095081920112,-13.932067932067932,34.2,26.454803202134755
Phi,Top 10,Mann-Whitney U,44821.5,0.006750516903013377,-13.925574425574425,8.6321733454,5.808815955591728
Chi1,Top 10,Mann-Whitney U,44720.0,0.007137043550327091,-13.891774891774892,16.399922000300002,12.646827942549699
VSA_EState9,Top 10,Mann-Whitney U,44712.0,0.0022686615292873274,-13.889110889110889,2.6417552512,0.35535696720730486
AUTOCORR2D_15,Top 10,Mann-Whitney U,44458.5,0.00821346567552209,-13.804695304695304,3.6375,2.8915260173448973
VSA_EState8,Top 10,Mann-Whitney U,44353.5,0.0085358278221251,-13.76973026973027,7.076112122500001,3.3445888403475648
AUTOCORR2D_31,Top 10,Mann-Whitney U,44329.5,0.008802893485719804,-13.761738261738262,3.5329,2.8004546364242824
AUTOCORR2D_24,Top 10,Mann-Whitney U,44325.0,0.008787553642578893,-13.76023976023976,3.7316000000000003,2.8834356237491665
AUTOCORR2D_177,Top 10,Mann-Whitney U,44280.5,0.009049929482445474,-13.745421245421245,1.2097000000000002,0.9870008338892596
AUTOCORR2D_40,Top 10,Mann-Whitney U,44279.5,0.00900407892737166,-13.745088245088246,3.7239000000000004,2.876600233488993
Ipc,Top 10,Mann-Whitney U,44212.0,0.009383679646651277,-13.722610722610723,1637198732.413022,545710303.3253582
AUTOCORR2D_9,Top 10,Mann-Whitney U,44202.5,0.009433696266781987,-13.71944721944722,3.4951,3.1964251167444964
AUTOCORR2D_145,Top 10,Mann-Whitney U,44163.0,0.009633459199497348,-13.706293706293707,1.0364,0.844407271514343
fr_ether,Top 10,Mann-Whitney U,44161.0,0.003970099071741869,-13.705627705627705,1.8,0.781187458305537
PEOE_VSA1,Top 10,Mann-Whitney U,44115.5,0.00986594602524354,-13.69047619047619,25.506563019000005,15.638421644495496
AUTOCORR2D_17,Top 10,Mann-Whitney U,43994.0,0.010531633717201993,-13.65001665001665,3.6834999999999996,3.3791957971981326
AUTOCORR2D_14,Top 10,Mann-Whitney U,43876.0,0.011199737084648782,-13.610722610722611,3.7390000000000008,3.0930847231487664
AUTOCORR2D_30,Top 10,Mann-Whitney U,43815.0,0.01156095605535625,-13.59040959040959,3.6409,2.9973630753835887
AUTOCORR2D_23,Top 10,Mann-Whitney U,43700.0,0.012255829678642218,-13.552114552114553,3.8732999999999995,3.1308945963975985
ExactMolWt,Top 10,Mann-Whitney U,43682.5,0.012384060705393374,-13.546287046287047,473.46775780999997,378.1125672969663
AUTOCORR2D_33,Top 10,Mann-Whitney U,43677.0,0.01241915448525551,-13.544455544455545,3.6875,3.385465977318212
MolWt,Top 10,Mann-Whitney U,43658.5,0.012538088064102866,-13.538295038295038,473.8058,378.51020096731156
AUTOCORR2D_39,Top 10,Mann-Whitney U,43576.0,0.01306277033077823,-13.51082251082251,3.864,3.125472981987991
AUTOCORR2D_10,Top 10,Mann-Whitney U,43515.5,0.013491443032605459,-13.49067599067599,3.8171999999999997,3.494465310206804
AUTOCORR2D_153,Top 10,Mann-Whitney U,43485.5,0.013699324463111362,-13.480685980685982,1.1155000000000002,0.9337278185456971
Chi3v,Top 10,Mann-Whitney U,43478.5,0.013748373579652015,-13.478354978354979,6.9704217752,5.206463441126084
AUTOCORR2D_25,Top 10,Mann-Whitney U,43457.0,0.013899558203690121,-13.471195471195472,3.4143999999999997,3.136173282188125
EState_VSA4,Top 10,Mann-Whitney U,43269.0,0.015055153128264345,-13.408591408591409,42.581172133200006,21.616307520747668
FractionCSP3,Top 10,Mann-Whitney U,43144.5,0.016247701883152808,-13.367132867132867,0.5139638067999999,0.37600913925016677
AUTOCORR2D_13,Top 10,Mann-Whitney U,43116.0,0.016502354542058627,-13.357642357642357,3.7825999999999995,3.249121581054036
AUTOCORR2D_22,Top 10,Mann-Whitney U,43098.5,0.01664377543684654,-13.351814851814853,3.974100000000001,3.347227651767845
AUTOCORR2D_26,Top 10,Mann-Whitney U,43083.5,0.016771739779404826,-13.346819846819846,3.7358,3.4192001334222817
AUTOCORR2D_29,Top 10,Mann-Whitney U,43024.5,0.017269924661172713,-13.327172827172827,3.6805999999999996,3.148682121414276
AUTOCORR2D_38,Top 10,Mann-Whitney U,43023.0,0.017279660364267146,-13.326673326673326,3.9658,3.3421022348232152
AUTOCORR2D_8,Top 10,Mann-Whitney U,42985.0,0.017527926323357017,-13.314019314019314,3.7466,2.9600281854569714
AUTOCORR2D_169,Top 10,Mann-Whitney U,42875.0,0.018591686484282447,-13.277389277389277,1.0927,0.9244464643095397
HeavyAtomMolWt,Top 10,Mann-Whitney U,42777.5,0.019500656671574457,-13.244921744921745,437.1146,355.8660088392261
