Top_10_Drug,Top_10_Correlation,Bottom_10_Drug,Bottom_10_Correlation
PF-05212384 (BRD:BRD-K07955840-001-02-3),0.5829598564597004,TIOXOLONE (BRD:BRD-K41876534-001-13-7),-0.1710065196650363
KW-2478 (BRD:BRD-K41213548-001-02-0),0.5556621697309766,SULISOBENZONE (BRD:BRD-K38602774-001-03-2),-0.1788918443472777
10-DEACETYLBACCATIN (BRD:BRD-K96631475-001-02-4),0.5399827817067014,ATIPRIMOD (BRD:BRD-K38527262-300-01-0),-0.1793224943990651
POLYDATIN (BRD:BRD-K43236057-001-07-1),0.5164910722930242,GSK-J4 (BRD:BRD-K98203492-003-04-1),-0.1827456589475763
THONZONIUM (BRD:BRD-K13387373-004-14-5),0.4471040335436367,DEFEROXAMINE-MESYLATE (BRD:BRD-K09821361-066-25-8),-0.1844259077158597
PARDOPRUNOX (BRD:BRD-K11851476-003-01-7),0.4313615075399525,ONCRASIN-1 (BRD:BRD-K43449605-001-01-0),-0.1949583842532111
OXYPHENCYCLIMINE (BRD:BRD-A58193911-003-18-7),0.4097986575802219,DAPRODUSTAT (BRD:BRD-K06455935-001-01-3),-0.1951431606647535
TAK-901 (BRD:BRD-K01683783-001-02-6),0.3919052762361877,GTPL5238 (BRD:BRD-K92991072-001-04-9),-0.2599626670234293
BENZETHONIUM (BRD:BRD-K72723676-003-17-8),0.3850612047173494,TEPOXALIN (BRD:BRD-K89714990-001-01-5),-0.3677342581666865
EPZ011989 (BRD:BRD-K87468701-001-01-0),0.384103861111066,UC-112 (BRD:BRD-K73610817-001-10-9),-0.3700402990075391
