Property,Category,Test Type,T-Statistic,P-Value,Effect Size,Group Mean,Comparison Mean
AUTOCORR2D_147,Top 10,Mann-Whitney U,45302.5,0.005162627304473525,-14.085747585747585,1.169,0.9511527685123414
AUTOCORR2D_171,Top 10,Mann-Whitney U,44020.5,0.01038599488576394,-13.65884115884116,1.1105,0.9574718145430288
AUTOCORR2D_155,Top 10,Mann-Whitney U,43242.0,0.015494604644741885,-13.3996003996004,1.1027,0.9662896931287525
AUTOCORR2D_113,Top 10,Mann-Whitney U,43197.5,0.015843454061709658,-13.384781884781885,-0.014399999999999996,-0.09810657104736491
AUTOCORR2D_149,Top 10,Mann-Whitney U,43023.5,0.017277904076589776,-13.326839826839826,1.2387000000000001,0.98590877251501
AUTOCORR2D_191,Top 10,Mann-Whitney U,42766.0,0.019574632387912565,-13.241092241092241,1.4352,1.0461994663108738
AUTOCORR2D_129,Top 10,Mann-Whitney U,42634.5,0.020903017146004822,-13.197302697302698,-0.020099999999999996,-0.14670630420280187
AUTOCORR2D_180,Top 10,Mann-Whitney U,42200.0,0.025720109999401893,-13.052614052614052,1.2237999999999998,1.0446407605070045
AUTOCORR2D_146,Top 10,Mann-Whitney U,41442.5,0.0364253832421937,-12.800366300366301,0.9492,0.7982021347565044
AUTOCORR2D_121,Top 10,Mann-Whitney U,41384.5,0.03738156622049004,-12.78105228105228,-0.0533,-0.1375527018012008
AUTOCORR2D_137,Top 10,Mann-Whitney U,41362.0,0.03775949351538643,-12.773559773559773,0.1155,-0.00038108739159439597
fr_pyridine,Top 10,Mann-Whitney U,39467.0,0.010574506918830535,-12.142524142524142,0.6,0.22148098732488325
fr_unbrch_alkane,Top 10,Mann-Whitney U,37385.0,0.002061615962692304,-11.44921744921745,3.2,0.2479986657771848
AUTOCORR2D_45,Top 10,Mann-Whitney U,19202.0,0.04915925195570973,-5.394272394272394,4.8794,5.249458472314877
AUTOCORR2D_78,Top 10,Mann-Whitney U,19147.5,0.048017572354983766,-5.376123876123876,0.4917999999999999,1.239662108072048
AUTOCORR2D_99,Top 10,Mann-Whitney U,19025.0,0.04555219236896537,-5.335331335331335,-0.1326,-0.05756270847231487
AUTOCORR2D_63,Top 10,Mann-Whitney U,18749.5,0.04034248941107189,-5.243589743589744,0.1258,0.3309384589726484
AUTOCORR2D_68,Top 10,Mann-Whitney U,18710.0,0.0396852994862174,-5.23043623043623,0.2084,0.38658739159439626
AUTOCORR2D_47,Top 10,Mann-Whitney U,18654.5,0.03868293260681693,-5.211954711954712,3.7359,4.717925116744497
AUTOCORR2D_80,Top 10,Mann-Whitney U,18612.0,0.037844108786331855,-5.197802197802198,0.30890000000000006,1.0111342561707806
AUTOCORR2D_101,Top 10,Mann-Whitney U,18602.5,0.03783437557900385,-5.194638694638694,-0.08920000000000002,-0.043231821214142756
SMR_VSA6,Top 10,Mann-Whitney U,18579.5,0.03649748645691267,-5.186979686979687,7.1095435691,16.303557652045864
AUTOCORR2D_46,Top 10,Mann-Whitney U,18567.5,0.03724381232562901,-5.182983682983683,4.2573,5.02461140760507
AUTOCORR2D_86,Top 10,Mann-Whitney U,18557.5,0.0370771454247905,-5.17965367965368,0.1358,0.35286457638425617
AUTOCORR2D_176,Top 10,Mann-Whitney U,18348.5,0.03349370236931594,-5.11005661005661,0.5227999999999999,0.9605932288192127
AUTOCORR2D_143,Top 10,Mann-Whitney U,18324.0,0.03334362799259417,-5.101898101898102,-0.2764,-0.09726817878585724
AUTOCORR2D_88,Top 10,Mann-Whitney U,18223.0,0.03175103662478685,-5.0682650682650685,0.0808,0.2812498332221481
AUTOCORR2D_69,Top 10,Mann-Whitney U,18221.0,0.03185124039780698,-5.067599067599067,0.1616,0.37534556370913946
AUTOCORR2D_48,Top 10,Mann-Whitney U,18194.0,0.031335731464491964,-5.058608058608058,3.1989,4.384262841894596
PEOE_VSA10,Top 10,Mann-Whitney U,18119.5,0.02836362694426007,-5.033799533799534,4.007851555,10.091968374879253
PEOE_VSA1,Top 10,Mann-Whitney U,18112.0,0.030270197951551323,-5.031302031302031,8.1822175701,15.667314815691128
AUTOCORR2D_62,Top 10,Mann-Whitney U,18087.0,0.02994675315945922,-5.022977022977023,0.1482,0.36635723815877247
SPS,Top 10,Mann-Whitney U,18068.0,0.029690782175678748,-5.016650016650017,16.506130937800002,17.774130530379587
AUTOCORR2D_64,Top 10,Mann-Whitney U,18050.0,0.029315928856680835,-5.01065601065601,0.09290000000000001,0.2981929619746498
PEOE_VSA9,Top 10,Mann-Whitney U,18006.0,0.02843247570370836,-4.996003996003996,6.595604378200001,13.893913191456807
AUTOCORR2D_67,Top 10,Mann-Whitney U,17787.5,0.026054912100802588,-4.923243423243424,0.2092,0.3826004002668446
AUTOCORR2D_56,Top 10,Mann-Whitney U,17329.0,0.020841251194334987,-4.770562770562771,0.1803,1.2213178785857237
AUTOCORR2D_160,Top 10,Mann-Whitney U,16943.5,0.017174759432801744,-4.642191142191142,0.5128999999999999,0.9508509006004002
AUTOCORR2D_152,Top 10,Mann-Whitney U,16644.5,0.014785085037189534,-4.542624042624043,0.4737,1.001126584389593
AUTOCORR2D_65,Top 10,Mann-Whitney U,16528.0,0.014076901064418423,-4.503829503829504,0.11079999999999998,0.21297998665777185
BCUT2D_CHGHI,Top 10,Mann-Whitney U,16243.0,0.041510671596269394,-4.457997311827957,2.177611405111111,2.269714326479724
MaxAbsPartialCharge,Top 10,Mann-Whitney U,16084.0,0.03798350096129088,-4.394600033540164,0.3777556122222222,0.43155558001797106
SlogP_VSA2,Top 10,Mann-Whitney U,16153.0,0.01161153177245141,-4.378954378954379,22.0709318601,40.28023236321447
AUTOCORR2D_70,Top 10,Mann-Whitney U,15709.0,0.009191121437625422,-4.2311022311022315,0.11379999999999998,0.3479261174116077
AUTOCORR2D_184,Top 10,Mann-Whitney U,15664.5,0.008877321440126915,-4.216283716283717,0.4862,0.9212223148765843
AUTOCORR2D_71,Top 10,Mann-Whitney U,15558.5,0.008468869550345653,-4.180985680985681,0.08930000000000002,0.316594563042028
AUTOCORR2D_72,Top 10,Mann-Whitney U,15351.5,0.0075383084905972664,-4.112054612054612,0.0661,0.2899719813208806
fr_Ar_N,Bottom 10,Mann-Whitney U,45293.0,0.0026161388861876285,-14.082584082584082,2.8,1.1756170780520347
NumAromaticHeterocycles,Bottom 10,Mann-Whitney U,44269.5,0.004985137424829287,-13.741758241758241,1.8,0.8193795863909273
EState_VSA7,Bottom 10,Mann-Whitney U,44038.0,0.008909035835691383,-13.664668664668664,32.756204871,18.103697790604905
fr_NH0,Bottom 10,Mann-Whitney U,43782.5,0.009808962101707223,-13.57958707958708,3.2,1.7236490993995996
NumAromaticRings,Bottom 10,Mann-Whitney U,43550.0,0.011067273328743613,-13.502164502164502,3.2,2.0675450300200136
AUTOCORR2D_100,Bottom 10,Mann-Whitney U,43524.0,0.01343272900509831,-13.493506493506494,0.09770000000000001,-0.07140460306871248
AUTOCORR2D_124,Bottom 10,Mann-Whitney U,42968.0,0.01775940489793606,-13.308358308358308,0.0917,-0.08249799866577719
SMR_VSA3,Bottom 10,Mann-Whitney U,42963.5,0.016962701424193392,-13.306859806859807,16.834803810100002,10.034095803984156
BCUT2D_MRLOW,Bottom 10,Mann-Whitney U,42039.0,0.023162978397329274,-13.12600806451613,0.21808460610000005,0.03853940685880175
AUTOCORR2D_108,Bottom 10,Mann-Whitney U,41622.5,0.033586387487485346,-12.86030636030636,0.07339999999999999,-0.08612508338892594
SlogP_VSA8,Bottom 10,Mann-Whitney U,41528.0,0.02093099988741325,-12.828837828837829,13.7273370078,6.826402450084389
AUTOCORR2D_88,Bottom 10,Mann-Whitney U,41463.0,0.035951102692213,-12.807192807192807,0.3816,0.28074816544362907
fr_aniline,Bottom 10,Mann-Whitney U,40999.0,0.01973538446098302,-12.652680652680653,1.2,0.5897264843228819
AUTOCORR2D_87,Bottom 10,Mann-Whitney U,40895.5,0.04629422985224221,-12.618215118215119,0.41159999999999997,0.3132831887925283
AUTOCORR2D_116,Bottom 10,Mann-Whitney U,40811.0,0.048055065059714186,-12.59007659007659,0.03900000000000001,-0.10203202134756505
MinEStateIndex,Bottom 10,Mann-Whitney U,40798.0,0.04832452282620237,-12.585747585747585,-0.2163035389,-1.1652400298804202
fr_nitroso,Bottom 10,Mann-Whitney U,32958.0,1.442848638494738e-27,-9.975024975024976,0.1,0.00066711140760507
fr_aldehyde,Bottom 10,Mann-Whitney U,32837.5,1.403243455615046e-05,-9.934898434898434,0.1,0.004836557705136758
fr_HOCCN,Bottom 10,Mann-Whitney U,32537.5,0.025735435826112162,-9.834998334998335,0.1,0.014843228819212809
PEOE_VSA14,Bottom 10,Mann-Whitney U,20041.5,0.04476868875254999,-5.673826173826174,0.6093240071,4.71850475793429
NumAliphaticRings,Bottom 10,Mann-Whitney U,19848.0,0.04905746847126321,-5.609390609390609,0.3,1.0326884589726484
MinAbsPartialCharge,Bottom 10,Mann-Whitney U,18797.0,0.04370486953485309,-5.3034875922199864,0.21685193200000003,0.2646444248392677
BCUT2D_CHGHI,Bottom 10,Mann-Whitney U,18491.0,0.038801159113410144,-5.213373655913978,2.1697360139,2.269743080574891
MaxPartialCharge,Bottom 10,Mann-Whitney U,18502.0,0.038399544417655675,-5.205601207445916,0.21685193200000003,0.2694607789823618
SMR_VSA1,Bottom 10,Mann-Whitney U,18307.5,0.03303596048044138,-5.096403596403596,11.0923091454,17.079634592178618
AUTOCORR2D_141,Bottom 10,Mann-Whitney U,17540.5,0.023178080488015868,-4.840992340992341,-0.19010000000000002,-0.054698298865910606
AUTOCORR2D_164,Bottom 10,Mann-Whitney U,16839.0,0.016461438445344916,-4.607392607392607,0.9065999999999999,1.0761019012675117
VSA_EState9,Top 10 vs Bottom 10,Mann-Whitney U,24.5,0.032922429727867304,-1.4500000000000002,-0.5470302943,1.038267679
