Property,Category,Test Type,T-Statistic,P-Value,Effect Size,Group Mean,Comparison Mean
fr_NH1,Top 10,Mann-Whitney U,51545.0,2.2684176957293235e-05,-16.164502164502164,2.4,0.9034356237491661
AUTOCORR2D_185,Top 10,Mann-Whitney U,47467.5,0.0014134762614549112,-14.806693306693306,0.9123000000000001,0.7348233822548366
MinPartialCharge,Top 10,Mann-Whitney U,46497.0,0.002107969878346159,-14.592555331991951,-0.35514386610000004,-0.42558767858599256
NumAromaticHeterocycles,Top 10,Mann-Whitney U,45864.5,0.0017997327590338853,-14.272893772893774,2.0,0.8190460306871248
SMR_VSA3,Top 10,Mann-Whitney U,45494.5,0.004331479669696431,-14.14968364968365,18.5173313471,10.031289720700299
fr_Nhpyrrole,Top 10,Mann-Whitney U,44937.0,3.3399727871991263e-06,-13.964035964035965,0.9,0.14743162108072047
fr_Ar_NH,Top 10,Mann-Whitney U,44937.0,3.3399727871991263e-06,-13.964035964035965,0.9,0.14743162108072047
SMR_VSA10,Top 10,Mann-Whitney U,44904.5,0.006429499163256918,-13.953213453213452,34.78440051290001,21.706630376572882
NumAromaticRings,Top 10,Mann-Whitney U,44179.5,0.007850648426932083,-13.711788211788212,3.4,2.0672114743162107
AUTOCORR2D_42,Top 10,Mann-Whitney U,44034.5,0.010309907427284085,-13.663503163503163,5.9178,5.493657271514342
fr_Ar_N,Top 10,Mann-Whitney U,43839.5,0.00645163618813567,-13.598568098568098,2.9,1.1754503002001335
AUTOCORR2D_44,Top 10,Mann-Whitney U,43838.0,0.01142605136195511,-13.598068598068599,5.941,5.377121747831888
VSA_EState7,Top 10,Mann-Whitney U,43437.5,0.013841517660746403,-13.464701964701964,5.3566203606,2.1651517449486324
PEOE_VSA3,Top 10,Mann-Whitney U,43362.5,0.011440685678076086,-13.43972693972694,9.5427404331,5.536756629061375
PEOE_VSA8,Top 10,Mann-Whitney U,42993.0,0.017494609674760627,-13.316683316683317,32.5490870074,21.176112078980488
AUTOCORR2D_120,Top 10,Mann-Whitney U,42917.5,0.01812024947694847,-13.29154179154179,0.22359999999999997,-0.04388509006004002
NumHDonors,Top 10,Mann-Whitney U,42536.0,0.018205506283931357,-13.164502164502165,2.7,2.020680453635757
fr_amide,Top 10,Mann-Whitney U,42247.0,0.010068512554117096,-13.068265068265069,1.3,0.6899599733155437
NumAmideBonds,Top 10,Mann-Whitney U,42247.0,0.010068512554117096,-13.068265068265069,1.3,0.6899599733155437
EState_VSA6,Top 10,Mann-Whitney U,42211.5,0.023518097655477882,-13.056443556443556,23.209135502800002,14.282693891461307
AUTOCORR2D_136,Top 10,Mann-Whitney U,42195.5,0.025662967230818196,-13.05111555111555,0.2412,-0.04613842561707805
AUTOCORR2D_89,Top 10,Mann-Whitney U,42049.5,0.027599113858421623,-13.002497502497503,55.9206,46.189715977318215
NumHeterocycles,Top 10,Mann-Whitney U,41879.0,0.0250464767539583,-12.945720945720947,2.4,1.5010006671114076
VSA_EState4,Top 10,Mann-Whitney U,41727.5,0.03198847221553928,-12.895271395271395,4.9524314199,3.00744913444613
NHOHCount,Top 10,Mann-Whitney U,41197.5,0.036315631126957966,-12.718781218781219,2.9,2.2773515677118077
FpDensityMorgan3,Top 10,Mann-Whitney U,41158.0,0.04132511567098353,-12.705627705627705,2.6423277346,2.4076819891362575
AUTOCORR2D_41,Top 10,Mann-Whitney U,41013.5,0.04402641886444373,-12.657509157509157,5.315099999999999,4.999714309539693
fr_aniline,Top 10,Mann-Whitney U,40637.0,0.02414918041696293,-12.532134532134533,1.4,0.5893929286190794
PEOE_VSA2,Top 10,Mann-Whitney U,40610.5,0.049529441954155054,-12.523310023310023,9.8041035084,7.607238053186624
fr_imidazole,Top 10,Mann-Whitney U,39058.0,0.001182481463923093,-12.006327006327007,0.4,0.09939959973315543
fr_urea,Top 10,Mann-Whitney U,34638.0,0.017449272686507013,-10.534465534465534,0.2,0.046030687124749836
fr_term_acetylene,Top 10,Mann-Whitney U,32803.0,0.00011645873930462333,-9.923409923409924,0.1,0.005837224816544363
fr_hdrzone,Top 10,Mann-Whitney U,32565.0,0.019646805460714737,-9.844155844155845,0.1,0.015010006671114077
fr_ether,Top 10,Mann-Whitney U,20264.5,0.04844575997496126,-5.748085248085248,0.2,0.7838559039359573
AUTOCORR2D_107,Top 10,Mann-Whitney U,19222.0,0.04958156286457093,-5.400932400932401,-0.18769999999999998,-0.05424933288859239
AUTOCORR2D_131,Top 10,Mann-Whitney U,19034.5,0.04574048732846797,-5.338494838494839,-0.196,-0.05043212141427618
NumAtomStereoCenters,Top 10,Mann-Whitney U,19003.5,0.026659082227909203,-5.328171828171828,0.1,1.4339559706470981
SMR_VSA1,Top 10,Mann-Whitney U,18578.5,0.03732844944458154,-5.186646686646687,9.303731202600002,17.0826175440512
AUTOCORR2D_139,Top 10,Mann-Whitney U,18408.0,0.03467487239199376,-5.12987012987013,-0.12730000000000002,-0.019995330220146768
HallKierAlpha,Top 10,Mann-Whitney U,17981.5,0.02852488754524372,-4.987845487845488,-3.123,-2.432449121927785
FractionCSP3,Top 10,Mann-Whitney U,15598.5,0.008652520929471927,-4.194305694305695,0.19345112870000003,0.3765436834097732
AUTOCORR2D_137,Top 10,Mann-Whitney U,14709.5,0.0053162251844411975,-3.8982683982683985,-0.12109999999999999,1.3509006004002588e-05
MaxAbsPartialCharge,Top 10,Mann-Whitney U,12033.0,0.00111465546306252,-3.0358879758510815,0.3556638389999999,0.4316017277922056
AUTOCORR2D_116,Bottom 10,Mann-Whitney U,45822.5,0.003832543385016274,-14.258907758907759,0.1058,-0.10214342895263509
