Top_10_Drug,Top_10_Correlation,Bottom_10_Drug,Bottom_10_Correlation
APY-29 (BRD:BRD-K17511755-001-02-9),0.4785814234282772,ASP-7487 (BRD:BRD-K86118762-001-01-8),-0.1510144524930465
ADAVIVINT (BRD:BRD-K00003499-001-01-9),0.46995313986913,FALECALCITRIOL (BRD:BRD-K08251020-001-01-0),-0.1512947225390539
UNBS-5162 (BRD:BRD-K30933884-001-01-0),0.4202261108386101,NVP-TAE226 (BRD:BRD-K21025364-001-05-6),-0.1535087206625297
APTO-253 (BRD:BRD-K68003372-001-01-6),0.3115763122899356,FTORAFUR (BRD:BRD-K99383816-001-03-5),-0.1535859135765512
TASISULAM (BRD:BRD-K42495768-001-01-7),0.2668850715438393,NVP-TAE226 (BRD:BRD-K21025364-001-04-9),-0.1554380540315264
PF-477736 (BRD:BRD-K03063480-001-05-8),0.2632191697517098,ABX464 (BRD:BRD-K00003394-001-01-9),-0.1558968208033107
CUDC 101 (BRD:BRD-K41278234-001-03-0),0.214340896867378,TACALCITOL (BRD:BRD-K73237276-001-01-0),-0.1672619275310722
STF-31 (BRD:BRD-K22477529-001-02-7),0.2131328422363143,ALFACALCIDOL (BRD:BRD-K49522529-001-03-7),-0.171999722516289
BX-912 (BRD:BRD-K49669041-001-08-4),0.2101911358204445,CHLOROPROCAINE (BRD:BRD-K86864073-001-01-1),-0.1805653954836144
PHA-767491 (BRD:BRD-K50000283-001-04-4),0.2064471431146169,PARICALCITOL (BRD:BRD-K60585088-001-01-5),-0.1949839947316744
