CellLine_ID,ABCB1,ABCG2,ABCC1,ABCC2,ABCC3,ABCC4
ACH-000873,1.236976553,0.567022961,5.364992711,0.345915069,2.909458301,2.607656128
ACH-000860,0.038247949,2.496431105,4.805276488,0.966012207,5.153118456,3.713774322
ACH-000439,2.716576618,0.126381172,5.907802131,0.049357947,0.000642651,4.710881426
ACH-000318,0.58172859,0.858725101,5.073898933,1.361825536,3.437471597,1.676562144
ACH-001142,1.946932001,-0.043715148,5.477943289,0.523609859,3.701325161,3.573677977
ACH-000789,4.482287613,0.930052598,4.827757493,1.842750529,0.643587504,2.869936318
ACH-000544,0.308604236,0.821655671,4.828667758,1.325738989,3.798078745,1.993658789
ACH-000531,1.013045464,1.580741737,5.107348159,0.12987509,3.61477721,3.276564039
ACH-000695,0.802252557,1.223926403,4.064452608,0.095958543,0.080080263,2.251149045
ACH-000399,-0.003033238,-0.043715148,5.554011065,0.12987509,0.255974587,1.790092954
ACH-000175,0.065106054,0.414999118,6.049100724,0.437706586,2.025893927,3.061491155
ACH-000990,3.045243332,-0.043715148,5.754208315,1.024520722,5.161120501,5.146706376
ACH-000341,6.077866825,0.050424841,4.279223626,-0.036309814,0.756525135,4.030536008
ACH-000424,0.024622685,-0.02987415,3.673506466,0.355382473,0.175965167,3.486091273
ACH-000495,4.550373314,0.126381172,4.689857966,4.616730331,4.644130396,5.244938106
ACH-001200,0.179958009,3.736369985,4.000809647,1.339385613,-0.227285382,4.483874889
ACH-000427,0.104448894,0.162872831,5.054156165,0.673049144,5.966792377,3.119088596
ACH-000612,0.496487181,2.584815586,4.696349635,0.787129273,0.057843311,4.07764285
ACH-000834,0.239906201,2.134219908,5.331551047,0.118664715,5.489078814,2.569290302
ACH-000571,0.091457372,3.596611666,7.092695098,1.688069194,6.754530973,5.624928188
ACH-000694,0.216234814,2.020541644,5.767644701,1.779098079,3.501004453,2.877360994
ACH-000590,1.868731612,0.174829073,3.785703777,4.707272785,4.846861924,2.66444861
ACH-000686,5.412393213,4.109517246,6.254769707,7.174321033,5.627561763,3.869054147
ACH-000993,0.117320675,-0.02987415,4.983893096,0.072860866,0.429351994,4.084134277
ACH-000308,0.14271371,0.101515923,7.043991061,0.941874039,3.883539932,3.080944052
ACH-000397,0.130074905,2.217303538,5.258890221,1.086059527,2.102609149,4.210471805
ACH-001210,-0.003033238,-0.043715148,5.656257283,4.367617705,-0.213592859,3.919765106
ACH-000421,5.275202986,3.842635447,5.324769602,0.665585994,5.813930195,3.286388627
ACH-000882,0.971966666,0.728482313,4.452292651,4.568852738,1.6993586,2.803306214
ACH-000864,0.286078289,0.101515923,4.497533735,0.277700884,0.057843311,1.824785504
ACH-000317,4.106163504,-0.002594655,6.188850627,3.193111325,5.653396347,6.159142477
ACH-000577,2.851313846,1.776515327,4.838643306,0.604335003,5.174449784,2.66015759
ACH-000937,0.216234814,0.454574971,5.751071351,0.612146291,0.331627541,1.813312739
ACH-000433,3.059342393,1.854273902,4.471023359,1.616414037,6.054160622,3.519853507
ACH-000296,0.117320675,7.5509269,4.204355886,3.88128085,1.032328253,1.603058965
ACH-000417,0.01086318,0.916073876,4.890140999,0.072860866,5.684246455,0.715039646
ACH-000595,0.802252557,2.180665456,4.312671311,0.277700884,5.30885865,2.465035554
ACH-000061,0.204246942,2.966841639,5.73674885,0.28766102,-0.160133197,4.04308076
ACH-000722,2.258569475,1.178049677,4.475088797,0.326777143,5.883933281,4.014489555
ACH-000947,0.078343864,4.113850977,4.775853047,0.364783438,0.376901246,3.079332847
ACH-000219,1.469396216,1.154536996,3.976514289,3.719927323,2.175310333,3.52698773
ACH-000277,0.14271371,-0.057693869,3.448927754,0.879554335,3.353216718,0.017874265
